date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766667,94,179691.3758428429,212601.2410589329,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,1200.0,1365.168384962963,1200.0,96853.44002000001,61853.478942255,1530.9306567333242,19,7429.492263547796,69282.9712058028,463.51631666666844,139.04864305555554,183.59746352912597,61.1504520833333,133.87572580058182,False,0,0.0
2025-01-03,False,1365.168384962963,8524.602754296297,1200.0,97101.54223700002,62142.225156055196,0.0,0,0.0,62142.225156055196,41810.635200370365,1899.502446527778,2083.1786161572427,86.97623923611111,207.72790964512814,False,0,0.0
2025-01-04,False,8524.602754296297,6295.31250955556,1200.0,73201.45821099999,46114.0716496969,0.0,0,0.0,46114.0716496969,28672.75817301647,1272.508945138889,1395.7480171433774,88.66262685185185,230.42747765589414,False,0,0.0
2025-01-05,False,6295.31250955556,1200.0,1200.0,67539.236345,40949.9714328911,21595.63798639999,61,123574.86864665648,164524.84007954758,0.0,958.1037258680556,1059.7615174482407,51.96776840277779,111.49411819740523,False,0,0.0
2025-01-06,False,1200.0,1200.0,1200.0,77689.748114,46920.595956188496,16774.122673833328,52,96292.6025183754,143213.1984745639,0.0,731.1734508333333,810.3329695514897,65.48616236111114,123.10861532833293,False,0,0.0
2025-01-07,False,1200.0,1200.0,1200.0,80673.01617399999,49229.0730819447,15684.804753899993,52,92445.65375083458,141674.72683277927,0.0,613.51004375,699.0136844888323,89.11329479166666,199.77013181677117,False,0,0.0
2025-01-08,False,1200.0,1200.0,1200.0,83143.44439700001,51069.2000708003,10795.371866833337,41,60811.01098492466,111880.21105572497,34.605943333333926,518.4699234126983,584.1607934599097,77.41083065476192,182.4421622474565,False,0,0.0
2025-01-09,False,1200.0,1302.863451,1200.0,82774.886593,50843.388019115606,12539.237476733331,43,72724.57402993891,123567.96204905452,18.48060000000021,546.2416544642857,606.2326979752679,85.81419265873014,173.7899670407988,False,0,0.0
2025-01-10,False,1302.863451,7130.594556592593,1200.0,82404.479996,50621.1111404206,0.0,0,0.0,50621.1111404206,28200.805577855972,1360.4741137896826,1481.4448722494196,82.55676478174605,154.60714570561944,False,0,0.0
