date,official,terminal_mode,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,none,6000.0,1200.0,1200.0,54149.36558,32909.765220367,34869.62267943333,93,179647.8144226213,212557.5796429883,0.0,677.5743,799.5381104558993,842.9938875,1217.1863168434993,False,0,0.0
2025-01-02,False,none,1200.0,1257.4894511851855,1200.0,96806.441815,61803.3634402621,1478.6626691999825,18,7070.707269282611,68874.07070954471,366.7949666666681,119.12411965060765,153.88881706826913,58.667449143485214,130.6717440677405,True,0,0.0
2025-01-03,False,none,1257.4894511851855,8482.252130629633,1200.0,98236.531747,62988.3106714242,0.0,0,0.0,62988.3106714242,42846.99019703704,1909.625014328342,2088.1565415173186,100.35303207068442,228.79366515552152,True,0,0.0
2025-01-04,False,none,8482.252130629633,1200.0,1200.0,38659.962133,20852.309558905,2035.589241133336,15,12769.496068702305,33621.805627607304,307.59258971193367,183.71212513020834,241.99534201658506,80.22904713602068,180.4938149503282,True,0,0.0
2025-01-05,False,none,1200.0,1200.0,1200.0,41471.543476,21426.0453609787,51271.08615773333,102,254204.68454263834,275630.72990361706,0.0,2204.398518012153,2426.2921099961372,72.96029936622679,167.0040972779535,True,0,0.0
2025-01-06,False,none,1200.0,1235.4099712962966,1200.0,93304.822769,59333.27314891449,2206.157252099991,17,12259.48254470043,71592.75569361492,116.84354333333431,113.3405974392361,148.4131219579277,70.5816574004703,132.00874168601,True,0,0.0
2025-01-07,False,none,1235.4099712962966,1200.0,1200.0,63270.6615,35945.352019533995,32001.5339616,81,172316.1044610244,208261.45648055838,55.36640000000045,1312.0366188123915,1651.9743669284642,126.46242522046204,273.95041367969026,True,0,0.0
2025-01-08,False,none,1200.0,1200.0,1200.0,93229.053448,58685.0603580514,3437.719120266661,21,18882.911127571486,77567.97148562288,2391.9618678189277,199.78142194552953,235.02408623330965,137.26181014451947,348.1002655870001,True,0,0.0
2025-01-09,False,none,1200.0,1222.076634,1200.0,94481.980279,60347.8864871705,1734.051880799991,15,10628.739632843477,70976.62612001397,250.91753333333372,110.31126920030383,145.57080580100603,88.4899957183275,199.01710702036266,True,0,0.0
2025-01-10,False,none,1222.076634,7283.076104888887,1200.0,84925.6051974,52550.12883817956,0.0,0,0.0,52550.12883817956,30523.817859457617,1477.3299059922958,1601.4906596615729,99.02677431733626,190.65615626706045,True,0,0.0
2025-01-11,False,none,7283.076104888887,1200.0,1200.0,42868.3369,23139.85751242,315.0474559333317,7,1451.4784491670591,24591.335961587058,1104.1656752674917,106.15204229871964,132.26653325545598,74.91282235272625,150.9665996654484,True,0,0.0
2025-01-12,False,none,1200.0,1200.0,1200.0,87516.478225,54591.6509758281,7772.386468266654,36,44724.164108717945,99315.81508454605,58.61651666666717,318.0237731391059,388.4768277644463,78.6684081460615,155.02859339834285,True,0,0.0
2025-01-13,False,none,1200.0,1200.0,1200.0,95122.570609,60705.7548675376,338.3377469999974,13,1166.7968162878008,61872.551683825404,2474.66678279837,123.1306093614366,153.12983934087643,125.93884977530044,234.96870750482458,True,0,0.0
2025-01-14,False,none,1200.0,1203.748929,1200.0,88204.419547,54762.3954614016,5889.837121133324,26,34295.57768974015,89057.97315114175,255.13055000000134,277.9317467583551,351.0379437830665,71.31186548888417,146.13661506719288,True,0,0.0
2025-01-15,False,none,1203.748929,1435.9313280000003,1200.0,92559.864036,58602.8009426433,2987.380362066664,16,18193.94042794752,76796.74137059081,479.70136979423637,143.69296753743487,182.8349378716709,69.23294420975114,164.38984043545406,True,0,0.0
2025-01-16,False,none,1435.9313280000003,1211.375616,1200.0,94951.242023,60691.9194869179,908.2382667999995,10,4380.235279422458,65072.154766340354,2156.3176955967065,125.86728041449653,155.2162254299752,96.71964548762308,200.03614434514205,True,0,0.0
2025-01-17,False,none,1211.375616,2818.611610629631,1200.0,55651.22591,30520.742245134003,0.0,0,0.0,30520.742245134003,7811.629331028806,352.1471969509549,402.22822372949474,70.04913859517642,146.08838992569176,True,0,0.0
2025-01-18,False,none,2818.611610629631,1263.7548996666667,1200.0,46026.224224,24255.5714249996,0.0,0,0.0,24255.5714249996,727.8926073745005,126.09626722547745,155.15740628217063,57.33638214935594,113.27749297395778,True,0,0.0
2025-01-19,False,none,1263.7548996666667,1279.020876,1200.0,87145.57809699999,54261.4394794485,6275.2215623999955,28,37728.80796983057,91990.24744927906,198.29305666666733,286.2839963568793,354.47421383209297,94.97011188886862,197.27142609452213,True,0,0.0
2025-01-20,False,none,1279.020876,1410.8067295925932,1200.0,92437.030837,58505.3071963545,1340.830949933333,10,7191.202093341129,65696.50928969563,812.0949789300406,104.39228519151473,131.6818507522289,72.97342408474816,149.51480588239133,True,0,0.0
2025-01-21,False,none,1410.8067295925932,1200.0,1200.0,86950.168956,54371.453456820294,2594.9154480999946,17,15306.746207440327,69678.19966426062,1611.4774850493855,258.1268055419922,312.57856802351506,200.33709762045737,386.28125001527565,True,0,0.0
2025-01-22,False,none,1200.0,1249.6752239999998,1200.0,86992.724986,54659.5178714596,6388.575815933325,31,37847.28196869733,92506.79984015692,181.7450333333345,135.57869200032553,171.79276611106565,208.97249050939217,407.5350011609348,True,0,0.0
2025-01-23,False,none,1249.6752239999998,1285.2214054074075,1200.0,92817.520689,58933.1469933313,1607.8364434333314,14,9520.640158104707,68453.787151436,26.450916666667013,101.60350765516493,132.29385749636376,68.63823783473835,136.99831360712452,True,0,0.0
2025-01-24,False,none,1285.2214054074075,2052.4861206296273,1200.0,51127.723379999996,27041.504209220002,0.0,0,0.0,27041.504209220002,6704.900680082306,206.135446101888,254.24934603596674,152.7034680740158,333.890635231374,True,0,0.0
2025-01-25,False,none,2052.4861206296273,1370.8405254814857,1200.0,44751.049423000004,23505.8119255162,0.0,0,0.0,23505.8119255162,3279.1241595843635,105.94256779513891,133.2687601637711,112.50119387193521,241.61251168253602,True,0,0.0
2025-01-26,False,none,1370.8405254814857,1211.9969032222232,1200.0,88032.6186759,55202.36280233499,4052.3776046333214,15,25411.692297033216,80614.05509936821,149.58546666666768,143.75001021864148,179.993930597014,114.63123123998045,265.7504631649931,True,0,0.0
2025-01-27,False,none,1211.9969032222232,1200.0,1200.0,89059.08218619999,55896.99148943936,575.2374550333268,14,3269.737662180591,59166.72915161995,710.2733466666685,117.86042939453121,140.20461802803442,76.40163602129188,153.6617488778886,True,0,0.0
2025-01-28,False,none,1200.0,1200.0,1200.0,81689.073792,50511.549992143104,9252.505160266655,32,56546.03184394753,107057.58183609063,52.08741666666708,283.4778543294271,346.98916768599236,148.13975472832124,286.6138347809833,True,0,0.0
2025-01-29,False,none,1200.0,1293.632917370371,1200.0,88203.033761,55081.0890917474,326.2614640333319,9,1619.38364148359,56700.47273323099,2530.1412296378644,159.15606653645835,208.55001754752175,176.47552017780674,315.6359947824919,True,0,0.0
2025-01-30,False,none,1293.632917370371,1279.4838762592597,1200.0,86576.697275,53999.0336000865,2352.9985527266595,15,13181.468977343946,67180.50257743045,460.2971333333338,92.88108329535592,124.6153112586564,105.67659855446419,206.26746389573236,True,0,0.0
2025-01-31,False,none,1279.4838762592597,1894.776312851853,1200.0,43972.860847,22911.27355432289,0.0,0,0.0,22911.27355432289,531.4859703703785,154.5326736545139,187.71437611783702,72.24729927855036,145.86703958349824,True,0,0.0
2025-02-01,True,none,1894.776312851853,1923.3795434074098,1200.0,42247.360849,21928.892506179298,0.0,0,0.0,21928.892506179298,4299.1170843209975,209.4605216742622,245.394571407397,88.07752791479362,182.14303451351313,True,0,0.0
2025-02-02,True,none,1923.3795434074098,1452.624462925927,1200.0,82183.7310537,50984.763999953764,1012.0833643333318,4,6908.348283250509,57893.112283204275,789.184304251035,201.0714274495443,245.53518511557047,137.03956584601272,266.45054838371493,True,0,0.0
2025-02-03,True,none,1452.624462925927,1337.826589185186,1200.0,79472.67073,48777.1760123532,4971.175235399991,22,30714.414847641066,79491.59085999426,145.87348333333432,188.34098115234377,230.52029383342335,100.30408046346108,202.89250062542422,True,0,0.0
2025-02-04,True,none,1337.826589185186,1209.6505980000002,1200.0,80171.7366583,49557.92720356424,5294.954076366653,29,31916.07139090765,81473.9985944719,116.06160333333435,160.75394450412327,199.61778909284675,122.44677052777939,232.13115496656715,True,0,0.0
2025-02-05,True,none,1209.6505980000002,1322.5130450000006,1200.0,81348.1199262,50273.81805924268,3900.998224908002,18,23533.263596320816,73807.0816555635,140.84495000000118,191.1518470458984,228.62321307138083,91.42402353903653,195.01185547027973,True,0,0.0
2025-02-06,True,none,1322.5130450000006,1232.413587,1200.0,85415.84398499998,53495.8731509974,213.9119499999974,12,768.8264072676064,54264.699558265005,741.5210843621459,112.44924146592884,137.3048469545725,57.40401636268564,129.53753670329075,True,0,0.0
2025-02-07,True,none,1232.413587,1805.2479717407411,1200.0,42476.975655999995,22157.947654965,0.0,0,0.0,22157.947654965,6317.961399827162,200.59608700086807,240.30195758038772,158.30023243924379,328.42771364313313,True,0,0.0
2025-02-08,True,none,1805.2479717407411,1538.7337138888877,1200.0,36098.8871038,18911.52927963826,0.0,0,0.0,18911.52927963826,1285.9075997917753,121.0485381890191,152.24769963781907,131.5792233963867,262.8467939970817,True,0,0.0
2025-02-09,True,none,1538.7337138888877,1200.0,1200.0,79790.926675,49467.4773775417,3669.511441233331,22,22451.178665755157,71918.65604329685,116.6831333333339,116.6092407986111,161.7307994701087,131.40716813985506,267.2689741253099,True,0,0.0
2025-02-10,True,none,1200.0,1200.0,1200.0,80552.254557,49613.318435909096,919.7527234666688,12,5588.390146007718,55201.70858191681,2821.534503255148,148.52572268337673,182.2045362269835,184.60275495189492,358.4938575120284,True,0,0.0
