model,n_days_run,n_official_days,elapsed_s,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_days,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,n_negative_predictions,n_validation_errors,validation_errors_head,feb1_soc0,last_soc24_actual,last_soc24_plan,soc_min_actual,soc_max_actual
baseline_7d,45,14,6.963810700000977,757.9959273100906,839.8634776783322,117.5836548611111,221.65717605300128,977042.0770316,588769.5453509396,100144.94460283333,444,10,577454.337259387,1166223.8826103266,124619.8831191247,0,0,0,[],7310.211665407408,7024.875183925927,1200.0,1200.0,8524.602754296297
xgb_expanding,45,14,13.251474400000006,150.47052394903275,183.7254802714644,121.05835276043565,243.6220150566471,967042.6359014002,584371.8352006032,23906.657918169967,154,12,143704.08732893725,728075.9225295405,29731.631700683174,0,0,0,[],2010.3089489259246,1590.4174987407414,1200.0,1200.0,8481.126651185186
xgb_rolling30,45,14,13.40632370000094,158.1764388625372,194.61128850568758,118.07257597265848,238.27449193947726,959522.6426943,577924.2963087395,26469.83997502663,177,11,160092.22707950944,738016.5233882489,24530.292240452713,0,0,0,[],2010.3089489259246,1734.4768989629633,1200.0,1200.0,8481.126651185186
xgb_rolling60,45,14,17.592738600000303,150.47052394903275,183.7254802714644,121.05835276043565,243.6220150566471,967042.6359014002,584371.8352006032,23906.657918169967,154,12,143704.08732893725,728075.9225295405,29731.631700683174,0,0,0,[],2010.3089489259246,1590.4174987407414,1200.0,1200.0,8481.126651185186
