date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-02-01,0.8,0.2,fixed,6000.0,3405.4986134444443,46864.49744000001,25759.320477289202,0.0,0.0,25759.320477289202,12290.754383728396,0,0.0
2025-02-02,0.8,0.2,fixed,3405.4986134444443,2870.249395185186,94445.25279500001,61253.6607860222,0.0,0.0,61253.6607860222,12845.531501769552,0,0.0
2025-02-03,0.8,0.2,fixed,2870.249395185186,2451.45616525926,92297.745578,59195.6169535772,0.0,0.0,59195.6169535772,8555.825118271616,0,0.0
2025-02-04,0.8,0.2,fixed,2451.45616525926,2455.301255481484,91275.339059,58396.2390526503,0.0,0.0,58396.2390526503,5710.034110164619,0,0.0
2025-02-05,0.8,0.2,fixed,2455.301255481484,2453.130071185188,91376.747426,58379.3970798848,0.0,0.0,58379.3970798848,6323.016694444452,0,0.0
2025-02-06,0.8,0.2,fixed,2453.130071185188,2585.559473259261,93358.66158,60070.9113539528,0.0,0.0,60070.9113539528,8760.359683950623,0,0.0
2025-02-07,0.8,0.2,fixed,2585.559473259261,2901.2748220740727,48692.627689,26160.468990094603,0.0,0.0,26160.468990094603,13138.281796613179,0,0.0
2025-02-08,0.8,0.2,fixed,2901.2748220740727,2782.599300444444,44079.37153799999,23610.1569840608,0.0,0.0,23610.1569840608,9467.838624995884,0,0.0
2025-02-09,0.8,0.2,fixed,2782.599300444444,2322.0936711111117,90110.2652911,57704.06591441289,0.0,0.0,57704.06591441289,6955.648115843632,0,0.0
2025-02-10,0.8,0.2,fixed,2322.0936711111117,2281.505777851853,90394.644506,57680.7666748645,0.0,0.0,57680.7666748645,12472.532387160496,0,0.0
2025-02-11,0.8,0.2,fixed,2281.505777851853,1891.3030554074078,87743.43383699999,55586.759035104,0.0,0.0,55586.759035104,8886.62016320988,0,0.0
2025-02-12,0.8,0.2,fixed,1891.3030554074078,2328.5824098518506,88537.333661,56106.8149859919,0.0,0.0,56106.8149859919,8849.291240465023,0,0.0
2025-02-13,0.8,0.2,fixed,2328.5824098518506,2347.378446037037,88481.26516740001,56326.76282182282,0.0,0.0,56326.76282182282,13525.925954283959,0,0.0
2025-02-14,0.8,0.2,fixed,2347.378446037037,2643.2138220370366,40971.262583799995,21875.9269968155,0.0,0.0,21875.9269968155,7506.657217051031,0,0.0
2025-02-15,0.8,0.2,fixed,2643.2138220370366,2369.507246925926,39547.038059000006,21171.1587542489,0.0,0.0,21171.1587542489,7410.1922556666605,0,0.0
2025-02-16,0.8,0.2,fixed,2369.507246925926,2116.737008888891,85074.918587,53727.1166498385,0.0,0.0,53727.1166498385,5882.170138777783,0,0.0
2025-02-17,0.8,0.2,fixed,2116.737008888891,1994.0112676296314,84529.18772599999,53193.8199606422,0.0,0.0,53193.8199606422,9875.610268716056,0,0.0
2025-02-18,0.8,0.2,fixed,1994.0112676296314,2049.9141658888884,82649.52588599999,51774.8636011158,0.0,0.0,51774.8636011158,6660.290263271614,0,0.0
2025-02-19,0.8,0.2,fixed,2049.9141658888884,1803.1828969259282,82791.21430299999,51884.3277967225,0.0,0.0,51884.3277967225,6092.88556373251,0,0.0
2025-02-20,0.8,0.2,fixed,1803.1828969259282,2396.5101641851847,84315.360109,52950.3588757591,0.0,0.0,52950.3588757591,8818.83343271606,0,0.0
2025-02-21,0.8,0.2,fixed,2396.5101641851847,2597.4561625555552,38138.149066,20365.8264250522,0.0,0.0,20365.8264250522,9174.526239374492,0,0.0
2025-02-22,0.8,0.2,fixed,2597.4561625555552,2479.1006173333326,36832.065078,19669.2497995876,0.0,0.0,19669.2497995876,6076.558730551442,0,0.0
2025-02-23,0.8,0.2,fixed,2479.1006173333326,1959.8707375925947,81451.166054,51126.52907266939,0.0,0.0,51126.52907266939,6575.392100855966,0,0.0
2025-02-24,0.8,0.2,fixed,1959.8707375925947,2027.0468350740741,81186.96403313,50606.29632579231,0.0,0.0,50606.29632579231,9273.527737784329,0,0.0
2025-02-25,0.8,0.2,fixed,2027.0468350740741,1636.7965627037058,79413.88219379999,49303.57756795168,8.32169533333331,37.859552918999896,49341.43712087068,10407.517839096296,0,0.0
2025-02-26,0.8,0.2,fixed,1636.7965627037058,2148.0238112222237,79586.89462499999,49353.2521449622,0.0,0.0,49353.2521449622,6413.281050000004,0,0.0
2025-02-27,0.8,0.2,fixed,2148.0238112222237,2151.866834888892,79471.82365499999,49438.249527311156,0.0,0.0,49438.249527311156,8289.653937107005,0,0.0
2025-02-28,0.8,0.2,fixed,2151.866834888892,2353.160771814817,36663.597691,19458.4533348904,0.0,0.0,19458.4533348904,10063.238009065844,0,0.0
2025-03-01,0.8,0.2,fixed,2353.160771814817,2276.1613159629624,35589.6729054,18862.49895987402,0.0,0.0,18862.49895987402,9125.435379280658,0,0.0
2025-03-02,0.8,0.2,fixed,2276.1613159629624,1446.8597508888893,76912.762521,47758.2879141436,632.971130966669,4366.26488890505,52124.552803048646,1843.8064760905377,0,0.0
2025-03-03,0.8,0.2,fixed,1446.8597508888893,1474.9099518518524,77643.33089000001,47912.0428679015,482.2837990333279,3305.7131264031623,51217.755994304665,1607.7088092592649,0,0.0
2025-03-04,0.8,0.2,fixed,1474.9099518518524,1635.5289972962948,77386.8090476,47769.383263274685,0.0,0.0,47769.383263274685,3888.0230127983577,0,0.0
2025-03-05,0.8,0.2,fixed,1635.5289972962948,1878.4838559259258,78875.1405747,48711.744929366934,0.0,0.0,48711.744929366934,8706.966963205352,0,0.0
2025-03-06,0.8,0.2,fixed,1878.4838559259258,2013.1072012962989,79591.705785,49522.82845112816,0.0,0.0,49522.82845112816,9788.708819339516,0,0.0
2025-03-07,0.8,0.2,fixed,2013.1072012962989,2385.332607481481,35333.949987,18740.1180042708,0.0,0.0,18740.1180042708,11147.841370115231,0,0.0
2025-03-08,0.8,0.2,fixed,2385.332607481481,2346.39733203704,33415.240225,17826.5523136627,0.0,0.0,17826.5523136627,11659.75324949794,0,0.0
2025-03-09,0.8,0.2,fixed,2346.39733203704,1860.8542127407425,77616.47376980001,48184.898953040814,0.0,0.0,48184.898953040814,11175.448764604946,0,0.0
2025-03-10,0.8,0.2,fixed,1860.8542127407425,1807.0813207037058,76981.784754,47543.1735144403,0.0,0.0,47543.1735144403,5142.923572855962,0,0.0
2025-03-11,0.8,0.2,fixed,1807.0813207037058,1619.3746320740786,74352.606274,45389.4415619832,0.0,0.0,45389.4415619832,6743.591123456807,0,0.0
2025-03-12,0.8,0.2,fixed,1619.3746320740786,1780.1742152222214,75125.25446699999,45977.0935259141,0.0,0.0,45977.0935259141,8823.697290493828,0,0.0
2025-03-13,0.8,0.2,fixed,1780.1742152222214,1751.3491468148163,75775.5095814,46529.49836465836,0.0,0.0,46529.49836465836,3989.629851728397,0,0.0
2025-03-14,0.8,0.2,fixed,1751.3491468148163,2484.1230265555555,33840.3830263,17887.28128008342,0.0,0.0,17887.28128008342,14206.58418250988,0,0.0
2025-03-15,0.8,0.2,fixed,2484.1230265555555,1726.9298349259263,32075.944521999998,16946.6990331538,0.0,0.0,16946.6990331538,9295.062731835393,0,0.0
2025-03-16,0.8,0.2,fixed,1726.9298349259263,2056.1365394444474,74397.86769,45500.100663032,1.6400000000001,7.461180000000455,45507.561843031996,6983.200161316876,0,0.0
2025-03-17,0.8,0.2,fixed,2056.1365394444474,2027.0812705555575,74107.8725802,45281.33389391693,0.0,0.0,45281.33389391693,12848.507939382724,0,0.0
2025-03-18,0.8,0.2,fixed,2027.0812705555575,1705.4764607037039,70662.252738,42919.1839649596,0.0,0.0,42919.1839649596,5900.613831275728,0,0.0
2025-03-19,0.8,0.2,fixed,1705.4764607037039,2135.6868030370406,72316.28923550001,44044.55549442645,0.0,0.0,44044.55549442645,8512.375132469138,0,0.0
2025-03-20,0.8,0.2,fixed,2135.6868030370406,1864.332570333335,71945.34652369999,43992.12568610416,0.0,0.0,43992.12568610416,6109.647892633746,0,0.0
