id,lambda,risk,adaptive,note,load_mae_kw,weekly_mae_kw,n_validation_errors,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_emergency_days,tune_curtail_kwh,tune_purchase_kwh,tune_inventory_adjusted,inner_total_cost,inner_plan_cost,inner_emergency_cost,inner_emergency_kwh,inner_emergency_days,inner_curtail_kwh,inner_purchase_kwh,inner_inventory_adjusted,select_total_cost,select_plan_cost,select_emergency_cost,select_emergency_kwh,select_emergency_days,select_curtail_kwh,select_purchase_kwh,select_inventory_adjusted,oos_total_cost,oos_plan_cost,oos_emergency_cost,oos_emergency_kwh,oos_emergency_days,oos_curtail_kwh,oos_purchase_kwh,oos_inventory_adjusted,full_total_cost,full_plan_cost,full_emergency_cost,full_emergency_kwh,full_emergency_days,full_curtail_kwh,full_purchase_kwh,full_inventory_adjusted,full_vs_official
G0,1.0,split,True,official D_pv7d_adaptive replay,136.4244644049466,318.5366762386162,0,5739936.3452173155,5520699.101445236,219237.24377207935,36149.10343442663,46,1272087.731030437,9141047.67284422,5741575.645071466,3374577.086786068,3320372.867558266,54204.21922780185,8585.811998399982,17,760492.8883234716,5521341.114267199,3376384.4715418597,2365359.258431248,2200326.23388697,165033.0245442775,27563.29143602665,29,511594.8427069656,3619706.5585770207,2365191.1735296077,7957562.824562119,7704618.900893975,252943.92366814445,43740.63265211324,92,1254634.2898712219,12441547.17411241,7957843.946343763,13697499.169779435,13225318.002339212,472181.16744022374,79889.73608653988,138,2526722.0209016586,21582594.84695663,13699419.591415228,0.0
G1,1.0,split,False,"fixed q=0.8, pure XGB",136.4244644049466,318.5366762386162,0,5752019.107827847,5498680.987604624,253338.12022322242,41734.09940964128,50,1244315.2503591022,9108464.18411827,5753658.407681998,3377440.851891596,3320311.787083762,57129.06480783354,9042.487931658317,19,760990.7011518356,5521360.89290806,3379309.556804249,2374578.255936251,2178369.200520862,196209.05541538887,32691.611477982966,31,483324.5492072663,3587103.29121021,2374348.8508777493,8013148.473908133,7871092.474946132,142055.99896199984,25176.328228604394,70,1473730.409929648,12667086.1399328,8013376.790633069,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,120,2718045.66028875,21775550.32405107,13767035.198315067,67668.41195654497
G2,0.5,split,False,"fixed q=0.8, 50% weekly + 50% XGB",186.54974885863538,318.5366762386162,0,5957969.700256064,5441288.67484951,516681.02540655364,89367.89004269324,66,1258222.1279196832,9072234.714192342,5959949.96692273,3413363.814353047,3379286.585245736,34077.229107311156,5215.687124433332,9,849889.0761249595,5608551.320420691,3415175.7859111773,2544605.885903017,2062002.0896037745,482603.7962992424,84152.2029182599,57,408333.0517947236,3463683.3937716507,2544774.1810115534,8475468.974947972,7950193.510012919,525275.4649350531,99924.35857127057,87,1485796.0268729622,12595617.136338145,8474536.865640614,14433438.675204035,13391482.184862427,1041956.4903416067,189292.24861396378,153,2744018.1547926455,21667851.850530483,14434486.832563344,735939.5054246001
G3a,0.3,split,False,"fixed q=0.8, 30% XGB",234.9974573767427,318.5366762386162,0,6135526.135616301,5432702.339699544,702823.7959167559,123994.4376831699,68,1295966.7791189954,9072223.92299436,6137506.402282967,3447851.9963581534,3414592.8351680655,33259.16119008798,5013.323453033327,7,904552.2542897144,5660900.907726199,3449642.455711578,2687674.1392581477,2018109.5045314792,669564.634726668,118981.11423013656,61,391414.5248292812,3411323.01526816,2687863.9465713897,8882039.435814563,8086201.565858607,795837.869955956,153102.43078807322,92,1633318.158330577,12677779.20822867,8880668.785804896,15017565.571430862,13518903.90555815,1498661.6658727122,277096.86847124307,160,2929284.9374495726,21750003.13122303,15018175.188087862,1320066.4016514271
G3b,0.7,split,False,"fixed q=0.8, 70% XGB",150.14410490799264,318.5366762386162,0,5826158.694504411,5456690.29898423,369468.39552018256,61754.88946228158,57,1234871.9712710236,9078711.62071424,5828052.313379224,3386564.263655332,3347718.4266221747,38845.83703315722,5989.81904493997,12,801791.8894553394,5562149.5336816395,3388398.757379609,2439594.4308490795,2108971.872362055,330622.5584870253,55765.0704173416,45,433080.0818156841,3516562.0870326003,2439653.555999615,8177263.293780164,7862754.493740226,314508.8000399365,58126.11489552657,82,1415647.312638539,12575628.23276816,8176787.438202023,14003421.988284575,13319444.792724457,683977.1955601191,119881.00435780815,139,2650519.2839095625,21654339.8534824,14004839.751581246,305922.81850514
G4,1.0,net,False,"pure XGB, net-load alpha=0.8",136.4244644049466,318.5366762386162,0,5740455.485287093,5421981.642614669,318473.84267242387,51935.60546468324,56,1132604.6446460793,8990759.006276,5742094.815440699,3357716.018213298,3268188.8469091114,89527.17130418649,14150.25123466996,23,683886.064718465,5442469.81258272,3359584.729372501,2382739.467073795,2153792.7957055573,228946.67136823735,37785.35423001329,33,448718.57992761454,3548289.1936932798,2382510.0860681986,7974097.2886415385,7770143.3335433565,203953.95509818193,35393.41068373325,78,1328721.0993875149,12517708.73864215,7974325.2048787195,13714552.773928631,13192124.976158023,522427.79777060583,87329.01614841651,134,2461325.7440335946,21508467.744918153,13716420.020319419,17053.604149196297
G5,0.5,net,False,"50% mix, net-load alpha=0.8",186.54974885863538,318.5366762386162,0,5951111.8289376665,5384280.314757252,566831.5141804137,97129.29063841958,67,1177822.04029128,8987045.646747231,5953092.095604333,3383255.1737691783,3337692.5335144484,45562.64025473025,6932.635100199998,10,787141.9784543673,5546911.2161615295,3385067.1439612918,2567856.6551684886,2046587.7812428046,521268.8739256834,90196.65553821958,57,390680.0618369124,3440134.4305856996,2568024.9516430423,8460535.465794783,7850661.42141264,609874.0443821434,113540.70814825316,97,1346502.8017100834,12446022.345807072,8459603.352387631,14411647.294732451,13234941.736169891,1176705.5585625572,210669.99878667278,164,2524324.842001363,21433067.9925543,14412695.447991967,714148.1249530166
