q_lock,q_open,q_evening,jan_cash,jan_soc_end,nu,jan_score,jan_emergency_kwh
0.6,0.5,0.5,870900.6767350942,8377.371435740743,0.41255555555555556,869919.8789416603,3433.6504378666427
0.63,0.5,0.5,871055.1625262772,8413.641636185188,0.41255555555555556,870059.4012601489,2760.251975466641
0.65,0.5,0.5,871993.2947019009,8440.719254185187,0.41255555555555556,870986.3624140354,2310.190822266647
0.55,0.5,0.5,872521.733373267,8273.816858518523,0.41255555555555556,871583.6575959693,4701.131059846632
0.7,0.5,0.5,876219.1847182752,8555.59717774074,0.41255555555555556,875164.8589048361,1094.5086484999833
0.5,0.5,0.5,877864.1284395199,8167.201120259262,0.41255555555555556,876970.0375773507,6439.137222563301
0.75,0.5,0.5,887440.7414420141,8653.32026462963,0.41255555555555556,886346.099426173,561.2851038333209
