date,period,charge_kwh,discharge_kwh
2025-03-20,0:00-4:00,1712.07834,206.91167999999982
2025-03-20,4:00-8:00,988.1144401234492,5519.390365333334
2025-03-20,8:00-12:00,2903.219763333333,3233.626490033333
2025-03-20,12:00-16:00,7389.860666666666,254.72278333333304
2025-03-20,16:00-20:00,608.3573533333334,5049.910371666667
2025-03-20,20:00-24:00,3612.2955599999996,3603.558156166663
2025-03-20,soc_0,8725.302648296298,4364.369663259259
2025-06-21,0:00-4:00,719.0994966666672,268.8812999999996
2025-06-21,4:00-8:00,1160.7049033333333,1758.4083966666667
2025-06-21,8:00-12:00,10134.265783333332,0.0
2025-06-21,12:00-16:00,11.72069942386871,0.0
2025-06-21,16:00-20:00,64.54554999999993,5519.431796666666
2025-06-21,20:00-24:00,8515.243113333332,3035.9952399999993
2025-06-21,soc_0,2229.3323129259275,9015.779756259259
2025-09-23,0:00-4:00,2121.6103366666675,12.724060000000009
2025-09-23,4:00-8:00,480.65271456789685,6743.24101
2025-09-23,8:00-12:00,3820.390119999999,1941.3310300000014
2025-09-23,12:00-16:00,7315.302683333334,403.62491666666654
2025-09-23,16:00-20:00,79.1571719753029,4947.858353333333
2025-09-23,20:00-24:00,8252.761703333334,3746.4445462000003
2025-09-23,soc_0,8517.860068703703,8608.276307592594
2025-12-21,0:00-4:00,2095.0342100000003,252.7241899999999
2025-12-21,4:00-8:00,1559.1306749382688,775.0300299999997
2025-12-21,8:00-12:00,4442.177426666667,8573.914173366667
2025-12-21,12:00-16:00,8695.716964279834,2001.6944566666664
2025-12-21,16:00-20:00,0.0,5060.590363333333
2025-12-21,20:00-24:00,8259.263546666667,3588.173479999999
2025-12-21,soc_0,8579.77204062963,8623.599588296298
