date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,net_alpha,rho,terminal_soc
2025-02-01,True,0.8,0.2,netrho,,,6000.0,4021.22582162963,2400.0,47058.904654,20230.5002545028,0.0,0,0.0,20230.5002545028,11417.941903917694,0.8,0.625,2400.0
2025-02-02,True,0.8,0.2,netrho,,,4021.22582162963,3607.4765934814814,2400.0,92201.02238899999,65636.2936726954,0.0,0,0.0,65636.2936726954,10405.644499053506,0.8,0.625,2400.0
2025-02-03,True,0.8,0.2,netrho,,,3607.4765934814814,2756.464233814816,2400.0,88250.1693596,62705.83162879749,7.077768533332346,1,47.15563285332675,62752.987261650815,4848.886522633746,0.8,0.625,2400.0
2025-02-04,True,0.8,0.2,netrho,,,2756.464233814816,2583.395899444446,2400.0,86870.4044861,61210.646014590464,189.49310343332604,2,1241.7250015664604,62452.371016156925,1369.5672258847767,0.8,0.625,2400.0
2025-02-05,True,0.8,0.2,netrho,,,2583.395899444446,2860.8665128888897,2400.0,87972.49199,61810.770156672195,136.5771152333317,3,776.6981060378412,62587.468262710034,2269.8277712757263,0.8,0.625,2400.0
2025-02-06,True,0.8,0.2,netrho,,,2860.8665128888897,3462.8054224444472,2400.0,91070.25573599999,65126.8277408168,0.0,0,0.0,65126.8277408168,5898.8866086831285,0.8,0.625,2400.0
2025-02-07,True,0.8,0.2,netrho,,,3462.8054224444472,3923.1522277407403,2400.0,48917.316625,20727.7631735426,0.0,0,0.0,20727.7631735426,12795.253609086429,0.8,0.625,2400.0
2025-02-08,True,0.8,0.2,netrho,,,3923.1522277407403,3444.0335980370364,2400.0,41302.608361000006,17272.9196547388,0.0,0,0.0,17272.9196547388,6754.082553802471,0.8,0.625,2400.0
2025-02-09,True,0.8,0.2,netrho,,,3444.0335980370364,3002.2539675185185,2400.0,87538.6508792,61776.163045027366,0.0,0,0.0,61776.163045027366,4436.155652962971,0.8,0.625,2400.0
2025-02-10,True,0.8,0.2,netrho,,,3002.2539675185185,3051.395620518518,2400.0,87635.26465499999,60023.59252213979,0.0,0,0.0,60023.59252213979,9473.26100057613,0.8,0.625,2400.0
2025-02-11,True,0.8,0.2,netrho,,,3051.395620518518,2534.9800926296302,2400.0,83548.9191007,57171.133730263784,153.27321013333327,6,872.4082185603158,58043.5419488241,4732.840278711936,0.8,0.625,2400.0
2025-02-12,True,0.8,0.2,netrho,,,2534.9800926296302,3219.099253481479,2400.0,85874.03759299999,58189.93265685021,0.0,0,0.0,58189.93265685021,5632.884468975318,0.8,0.625,2400.0
2025-02-13,True,0.8,0.2,netrho,,,3219.099253481479,3267.7441387037047,2400.0,86573.1009828,58980.86941175826,0.0,0,0.0,58980.86941175826,11224.35995958848,0.8,0.625,2400.0
2025-02-14,True,0.8,0.2,netrho,,,3267.7441387037047,3638.553980037036,2400.0,40109.5556243,16808.04750077914,0.0,0,0.0,16808.04750077914,6242.616652612759,0.8,0.625,2400.0
2025-02-15,True,0.8,0.2,netrho,,,3638.553980037036,3263.756821259259,2400.0,38788.585089,16681.656975948303,0.0,0,0.0,16681.656975948303,6445.034121263378,0.8,0.625,2400.0
2025-02-16,True,0.8,0.2,netrho,,,3263.756821259259,3119.720064148152,2400.0,83818.179022,57227.6032298204,0.0,0,0.0,57227.6032298204,4190.297423695477,0.8,0.625,2400.0
2025-02-17,True,0.8,0.2,netrho,,,3119.720064148152,2944.0226635925937,2400.0,82961.6918025,56091.658059371664,0.0,0,0.0,56091.658059371664,8039.5311075164755,0.8,0.625,2400.0
2025-02-18,True,0.8,0.2,netrho,,,2944.0226635925937,2774.9844431481497,2400.0,79707.7909384,52865.331041786674,0.0,0,0.0,52865.331041786674,3612.636176901242,0.8,0.625,2400.0
2025-02-19,True,0.8,0.2,netrho,,,2774.9844431481497,2860.350745296299,2400.0,81075.9880328,53228.943163746066,43.72858400000007,2,236.18997749850035,53465.133141244565,3395.962459919344,0.8,0.625,2400.0
2025-02-20,True,0.8,0.2,netrho,,,2860.350745296299,3465.6934886666686,2400.0,83416.03538399999,56491.00012134401,0.0,0,0.0,56491.00012134401,7623.403899888894,0.8,0.625,2400.0
2025-02-21,True,0.8,0.2,netrho,,,3465.6934886666686,3798.6827484074074,2400.0,38489.835368,16384.8725839595,0.0,0,0.0,16384.8725839595,9053.12076372017,0.8,0.625,2400.0
2025-02-22,True,0.8,0.2,netrho,,,3798.6827484074074,3481.2150593333326,2400.0,36710.6984078,15729.03161015754,0.0,0,0.0,15729.03161015754,5778.147933602471,0.8,0.625,2400.0
2025-02-23,True,0.8,0.2,netrho,,,3481.2150593333326,3119.3516465925923,2400.0,80778.57903102,53997.108250530815,0.0,0,0.0,53997.108250530815,5441.817223215063,0.8,0.625,2400.0
2025-02-24,True,0.8,0.2,netrho,,,3119.3516465925923,3152.110455444444,2400.0,80048.4869402,52911.30462534394,8.68404600000008,1,44.162715933000406,52955.46734127694,7872.690494493829,0.8,0.625,2400.0
2025-02-25,True,0.8,0.2,netrho,,,3152.110455444444,2426.272761518519,2400.0,76875.646754,50010.988334598995,80.72825566666384,3,386.92642524482704,50397.91475984382,8102.958929386834,0.8,0.625,2400.0
2025-02-26,True,0.8,0.2,netrho,,,2426.272761518519,3228.4800394814847,2400.0,77968.280928,50979.66321444081,0.0,0,0.0,50979.66321444081,4233.064940724284,0.8,0.625,2400.0
2025-02-27,True,0.8,0.2,netrho,,,3228.4800394814847,3145.693920407408,2400.0,78443.67934199999,50646.54231479218,0.0,0,0.0,50646.54231479218,7202.858377817292,0.8,0.625,2400.0
2025-02-28,True,0.8,0.2,netrho,,,3145.693920407408,3598.866914518521,2400.0,37216.7303147,15505.376453031791,0.0,0,0.0,15505.376453031791,10130.794969226748,0.8,0.625,2400.0
2025-03-01,True,0.8,0.2,netrho,,,3598.866914518521,3448.264287555554,2400.0,35597.7087507,14717.57011115026,0.0,0,0.0,14717.57011115026,8951.961234074488,0.8,0.625,2400.0
2025-03-02,True,0.8,0.2,netrho,,,3448.264287555554,2440.8619260000005,2400.0,75715.423244,49517.56406658399,912.6363673899962,9,5672.75753376648,55190.32160035047,709.60503901235,0.8,0.625,2400.0
2025-03-03,True,0.8,0.2,netrho,,,2440.8619260000005,2577.715056888889,2400.0,75682.466533,48926.67368108189,1873.950891426661,15,11117.023544834794,60043.69722591669,943.0024990946512,0.8,0.625,2400.0
2025-03-04,True,0.8,0.2,netrho,,,2577.715056888889,2720.520807296298,2400.0,74288.90090000001,47760.856192655,271.79190549999794,5,1473.8911964378221,49234.74738909282,591.9623142798349,0.8,0.625,2400.0
2025-03-05,True,0.8,0.2,netrho,,,2720.520807296298,2978.900717592594,2400.0,76313.9652639,48143.18702400924,4.775773100000151,2,23.389396936300745,48166.57642094554,5671.478642094658,0.8,0.625,2400.0
2025-03-06,True,0.8,0.2,netrho,,,2978.900717592594,3197.751815555559,2400.0,77860.3654594,50269.12444881049,0.0,0,0.0,50269.12444881049,7610.702835269967,0.8,0.625,2400.0
2025-03-07,True,0.8,0.2,netrho,,,3197.751815555559,3738.171214333333,2400.0,35309.8051261,14618.737836959779,0.0,0,0.0,14618.737836959779,10709.595108980668,0.8,0.625,2400.0
2025-03-08,True,0.8,0.2,netrho,,,3738.171214333333,3543.770205703706,2400.0,32654.680716000003,13464.517934069,0.0,0,0.0,13464.517934069,10487.244263572018,0.8,0.625,2400.0
2025-03-09,True,0.8,0.2,netrho,,,3543.770205703706,3155.57261903704,2400.0,75722.706484,47977.325573128895,0.0,0,0.0,47977.325573128895,9016.18988255968,0.8,0.625,2400.0
2025-03-10,True,0.8,0.2,netrho,,,3155.57261903704,2987.317647222225,2400.0,75194.4618947,48986.41686489663,0.0,0,0.0,48986.41686489663,3311.1328002098826,0.8,0.625,2400.0
2025-03-11,True,0.8,0.2,netrho,,,2987.317647222225,2611.2160618888893,2400.0,70571.666236,44295.9023614411,767.8252922333284,5,4856.183721966894,49152.086083407994,3780.9313385432147,0.8,0.625,2400.0
2025-03-12,True,0.8,0.2,netrho,,,2611.2160618888893,2879.7998864074093,2400.0,72565.1586875,45044.605221590755,0.0,0,0.0,45044.605221590755,5907.411828611117,0.8,0.625,2400.0
2025-03-13,True,0.8,0.2,netrho,,,2879.7998864074093,3081.4862377037075,2400.0,74317.59006,47720.294937903,0.0,0,0.0,47720.294937903,2337.0931223456787,0.8,0.625,2400.0
2025-03-14,True,0.8,0.2,netrho,,,3081.4862377037075,3959.9728653333336,2400.0,34224.313225,13646.896805053999,0.0,0,0.0,13646.896805053999,13901.826325946506,0.8,0.625,2400.0
2025-03-15,True,0.8,0.2,netrho,,,3959.9728653333336,2944.1614624074086,2400.0,31698.63908,13152.245256668699,0.0,0,0.0,13152.245256668699,8882.621259477368,0.8,0.625,2400.0
2025-03-16,True,0.8,0.2,netrho,,,2944.1614624074086,3364.9123568148184,2400.0,73141.79078499999,45920.4325299575,1.6400000000001,1,8.081100000000493,45928.5136299575,5417.196422160499,0.8,0.625,2400.0
2025-03-17,True,0.8,0.2,netrho,,,3364.9123568148184,3280.834164592597,2400.0,72958.609747,44559.470433262104,0.0,0,0.0,44559.470433262104,11639.384907905358,0.8,0.625,2400.0
2025-03-18,True,0.8,0.2,netrho,,,3280.834164592597,2619.432463518524,2400.0,67774.210658,41440.401971907006,417.1481328833317,7,2244.9193578277573,43685.32132973476,3552.8313430247003,0.8,0.625,2400.0
2025-03-19,True,0.8,0.2,netrho,,,2619.432463518524,3449.5698088518543,2400.0,71102.34725,43224.64098942,0.0,0,0.0,43224.64098942,6585.0212895061895,0.8,0.625,2400.0
2025-03-20,True,0.8,0.2,netrho,,,3449.5698088518543,3120.1964630740754,2400.0,70604.6970841,44158.61674213686,0.0,0,0.0,44158.61674213686,4623.85825090535,0.8,0.625,2400.0
2025-03-21,True,0.8,0.2,netrho,,,3120.1964630740754,3334.4912487777783,2400.0,32579.738157,12900.3463897275,0.0,0,0.0,12900.3463897275,16967.39929704527,0.8,0.625,2400.0
2025-03-22,True,0.8,0.2,netrho,,,3334.4912487777783,3694.2215631111108,2400.0,32267.884778,12713.084422904998,0.0,0,0.0,12713.084422904998,12690.075606954735,0.8,0.625,2400.0
2025-03-23,True,0.8,0.2,netrho,,,3694.2215631111108,2938.981701592592,2400.0,68156.001113,41561.7208732954,0.0,0,0.0,41561.7208732954,6236.817342592596,0.8,0.625,2400.0
2025-03-24,True,0.8,0.2,netrho,,,2938.981701592592,3235.5260449629654,2400.0,68506.14915,41726.69102495501,0.0,0,0.0,41726.69102495501,6202.409541893005,0.8,0.625,2400.0
2025-03-25,True,0.8,0.2,netrho,,,3235.5260449629654,2337.4571918518527,2400.0,64197.6451,38916.599116002006,382.68409473332565,6,2347.6050037749246,41264.20411977693,306.26216798354017,0.8,0.625,2400.0
2025-03-26,True,0.8,0.2,netrho,,,2337.4571918518527,3090.0222559629656,2400.0,68826.664506,41305.282206976204,0.0,0,0.0,41305.282206976204,8539.50081187655,0.8,0.625,2400.0
2025-03-27,True,0.8,0.2,netrho,,,3090.0222559629656,3214.284917925929,2400.0,67871.505914,41058.6200749468,0.0,0,0.0,41058.6200749468,4962.862664452688,0.8,0.625,2400.0
2025-03-28,True,0.8,0.2,netrho,,,3214.284917925929,3533.1106258148134,2400.0,31503.049486899996,12384.94027942617,0.0,0,0.0,12384.94027942617,16986.56242216749,0.8,0.625,2400.0
2025-03-29,True,0.8,0.2,netrho,,,3533.1106258148134,3392.948744370375,2400.0,30412.921564000004,12198.8465467155,0.0,0,0.0,12198.8465467155,20188.47270741975,0.8,0.625,2400.0
2025-03-30,True,0.8,0.2,netrho,,,3392.948744370375,3181.306070851855,2400.0,65261.422609,38820.5303295387,0.0,0,0.0,38820.5303295387,6138.451044061744,0.8,0.625,2400.0
2025-03-31,True,0.8,0.2,netrho,,,3181.306070851855,3469.024871925928,2400.0,65308.28465,39427.08725247001,0.0,0,0.0,39427.08725247001,4437.400427119353,0.8,0.625,2400.0
2025-04-01,True,0.8,0.2,netrho,,,3469.024871925928,2537.268789222222,2400.0,60339.08911,36909.313203711,2296.4634422666622,11,14741.391415193299,51650.704618904296,49.97631666666723,0.8,0.625,2400.0
2025-04-02,True,0.8,0.2,netrho,,,2537.268789222222,2928.8331924444465,2400.0,64599.08410000001,38827.622486919005,1398.5970362499995,11,7550.696490872498,46378.3189777915,987.4962947119386,0.8,0.625,2400.0
2025-04-03,True,0.8,0.2,netrho,,,2928.8331924444465,3159.390736148149,2400.0,66713.63363,40381.439411021,0.0,0,0.0,40381.439411021,6398.868198518518,0.8,0.625,2400.0
2025-04-04,True,0.8,0.2,netrho,,,3159.390736148149,3788.590768851855,2400.0,30917.070455,12414.908027106001,0.0,0,0.0,12414.908027106001,21185.001090473255,0.8,0.625,2400.0
2025-04-05,True,0.8,0.2,netrho,,,3788.590768851855,3173.72725225926,2400.0,29043.101271,11695.4336439184,0.0,0,0.0,11695.4336439184,15079.394761946507,0.8,0.625,2400.0
2025-04-06,True,0.8,0.2,netrho,,,3173.72725225926,3193.7408094074085,2400.0,65545.26759999999,39551.989458281,0.0,0,0.0,39551.989458281,7350.849930699593,0.8,0.625,2400.0
2025-04-07,True,0.8,0.2,netrho,,,3193.7408094074085,3235.9725569259276,2400.0,65303.148570000005,38795.433165812006,0.0,0,0.0,38795.433165812006,8236.182589300412,0.8,0.625,2400.0
2025-04-08,True,0.8,0.2,netrho,,,3235.9725569259276,2487.914492407408,2400.0,61044.85231,35841.977333920004,829.1637341833302,6,5155.011682772372,40996.98901669237,4288.709939238685,0.8,0.625,2400.0
2025-04-09,True,0.8,0.2,netrho,,,2487.914492407408,2565.059000518519,2400.0,63383.42284000001,37489.501808243,763.9657878000005,4,4926.570663515904,42416.072471758904,958.5257944856058,0.8,0.625,2400.0
2025-04-10,True,0.8,0.2,netrho,,,2565.059000518519,3231.9217385555594,2400.0,64885.92682,38476.46796542499,0.0,0,0.0,38476.46796542499,5484.518585061736,0.8,0.625,2400.0
2025-04-11,True,0.8,0.2,netrho,,,3231.9217385555594,3377.5971203703693,2400.0,29794.207760999998,11520.500566279201,0.0,0,0.0,11520.500566279201,21038.124010823056,0.8,0.625,2400.0
2025-04-12,True,0.8,0.2,netrho,,,3377.5971203703693,3519.1549362592596,2400.0,29538.267974,11071.900686283003,0.0,0,0.0,11071.900686283003,17399.64452116872,0.8,0.625,2400.0
2025-04-13,True,0.8,0.2,netrho,,,3519.1549362592596,3239.5621822592607,2400.0,62319.15743399999,37462.427574207,0.0,0,0.0,37462.427574207,4483.876294123462,0.8,0.625,2400.0
2025-04-14,True,0.8,0.2,netrho,,,3239.5621822592607,3099.455198629632,2400.0,62716.42181,36908.081841159,0.0,0,0.0,36908.081841159,6463.30398518519,0.8,0.625,2400.0
2025-04-15,True,0.8,0.2,netrho,,,3099.455198629632,2613.745997518517,2400.0,60281.164566,34892.4758903832,0.0,0,0.0,34892.4758903832,6731.628502674905,0.8,0.625,2400.0
2025-04-16,True,0.8,0.2,netrho,,,2613.745997518517,2709.7255959629656,2400.0,61677.525476999996,36709.591178090806,0.0,0,0.0,36709.591178090806,2070.1811761358,0.8,0.625,2400.0
2025-04-17,True,0.8,0.2,netrho,,,2709.7255959629656,3326.0092914814845,2400.0,62502.094103,36782.613586163,0.0,0,0.0,36782.613586163,4957.308231000008,0.8,0.625,2400.0
2025-04-18,True,0.8,0.2,netrho,,,3326.0092914814845,3736.7016880370384,2400.0,29260.134753000002,11350.352940330398,0.0,0,0.0,11350.352940330398,19428.238163329228,0.8,0.625,2400.0
2025-04-19,True,0.8,0.2,netrho,,,3736.7016880370384,3509.6203390740725,2400.0,27665.577373,10859.478293534,0.0,0,0.0,10859.478293534,18525.33766616872,0.8,0.625,2400.0
2025-04-20,True,0.8,0.2,netrho,,,3509.6203390740725,3398.903785555556,2400.0,60608.530159,35771.8075091462,0.0,0,0.0,35771.8075091462,5050.878996283948,0.8,0.625,2400.0
2025-04-21,True,0.8,0.2,netrho,,,3398.903785555556,2911.5918320000014,2400.0,60456.570109,35196.1406819299,0.0,0,0.0,35196.1406819299,8785.427274563799,0.8,0.625,2400.0
2025-04-22,True,0.8,0.2,netrho,,,2911.5918320000014,2633.272780925924,2400.0,57507.417745,33813.095521078,0.0,0,0.0,33813.095521078,1900.5277051851986,0.8,0.625,2400.0
2025-04-23,True,0.8,0.2,netrho,,,2633.272780925924,2879.073996592594,2400.0,59593.10142,35074.871115919006,0.0,0,0.0,35074.871115919006,4173.538441609059,0.8,0.625,2400.0
2025-04-24,True,0.8,0.2,netrho,,,2879.073996592594,3159.7312214444464,2400.0,60997.517459999995,35780.287352212996,0.0,0,0.0,35780.287352212996,9698.081291399183,0.8,0.625,2400.0
2025-04-25,True,0.8,0.2,netrho,,,3159.7312214444464,3338.2465784814844,2400.0,28066.861553000002,10464.7655523291,0.0,0,0.0,10464.7655523291,22814.4845811893,0.8,0.625,2400.0
2025-04-26,True,0.8,0.2,netrho,,,3338.2465784814844,3174.2137932592623,2400.0,27574.326435000003,10162.8800568434,0.0,0,0.0,10162.8800568434,24683.509222588487,0.8,0.625,2400.0
2025-04-27,True,0.8,0.2,netrho,,,3174.2137932592623,2821.2299589259287,2400.0,57103.347286,33122.333675050395,0.0,0,0.0,33122.333675050395,5123.767064493831,0.8,0.625,2400.0
2025-04-28,True,0.8,0.2,netrho,,,2821.2299589259287,2752.716627000001,2400.0,57059.229885,34043.398289782395,3282.363848699996,26,19668.571321943233,53711.969611725624,766.2881856790195,0.8,0.625,2400.0
2025-04-29,True,0.8,0.2,netrho,,,2752.716627000001,2771.071980296297,2400.0,56157.291389,32207.658062119503,1033.4626083999985,4,6675.199931801408,38882.85799392091,6010.737133251036,0.8,0.625,2400.0
2025-04-30,True,0.8,0.2,netrho,,,2771.071980296297,2678.7167343703713,2400.0,56670.598029999994,32725.5357342458,0.0,0,0.0,32725.5357342458,5106.165455592594,0.8,0.625,2400.0
2025-05-01,True,0.8,0.2,netrho,,,2678.7167343703713,2231.25,2400.0,57631.109918,34486.9728632202,1822.8200417333323,21,9688.135086575377,44175.10794979558,4901.895007921825,0.8,0.625,2400.0
2025-05-02,True,0.8,0.2,netrho,,,2231.25,2403.304725222223,2400.0,30107.314950999997,12262.982025584399,433.6870630666646,5,2399.61691222423,14662.598937808629,12646.12689868313,0.8,0.625,2400.0
2025-05-03,True,0.8,0.2,netrho,,,2403.304725222223,2438.402365000001,2400.0,29102.513641999998,11727.5676297006,351.90317333333155,8,1590.5916834697814,13318.159313170381,17702.87979224691,0.8,0.625,2400.0
2025-05-04,True,0.8,0.2,netrho,,,2438.402365000001,2388.162384962963,2400.0,61106.851389999996,37072.310407203004,685.0211949666651,14,3628.6438399166245,40700.954247119626,6679.963485555563,0.8,0.625,2400.0
2025-05-05,True,0.8,0.2,netrho,,,2388.162384962963,3312.3702456666692,2400.0,64303.18548,39150.68619694,294.7660812499993,7,1546.7193869270793,40697.405583867076,4476.544512613173,0.8,0.625,2400.0
2025-05-06,True,0.8,0.2,netrho,,,3312.3702456666692,2778.438745259259,2400.0,60569.955004999996,37406.568504688,315.8269367166646,8,1616.8195643783301,39023.388069066335,4635.444970987655,0.8,0.625,2400.0
2025-05-07,True,0.8,0.2,netrho,,,2778.438745259259,2671.185586111112,2400.0,61925.035742,38165.992941231,46.09337753333091,1,316.0161963685167,38482.00913759952,3167.7317612757197,0.8,0.625,2400.0
2025-05-08,True,0.8,0.2,netrho,,,2671.185586111112,3748.7969057407413,2400.0,64308.599438599995,39981.874574463975,82.43748333333338,2,572.7872274833337,40554.66180194731,3716.2621662139904,0.8,0.625,2400.0
2025-05-09,True,0.8,0.2,netrho,,,3748.7969057407413,4735.733527074075,2400.0,31151.610595,13751.9577603475,0.0,0,0.0,13751.9577603475,18864.324830267487,0.8,0.625,2400.0
