variant,lookahead_hours,q_lock,buffer,total_cost,delta_vs_frozen,emergency_kwh,emergency_cost,soc24_median,soc24_at_min_days,notes
frozen_LA_h24_beta,24,,beta,13458730.29914341,0.0,82228.36434132625,442684.0050351729,1310.8,106,official freeze
causal_h48_beta,48,,beta,13421219.842027923,-37510.457115486,70433.46291094298,421410.2725891817,8458.79,0,week-similar PV tail
causal_h24_q070,24,0.7,quantile,13338687.711622842,-120042.587520568,30313.533513894887,167382.25564483233,1563.82,22,
causal_h24_q065,24,0.65,quantile,13294093.951855354,-164636.347288056,44783.43102393648,244772.80045026587,1452.07,37,
causal_h48_q060,48,0.6,quantile,13274667.53537518,-184062.76376823,58355.20229992268,342008.68305058894,8462.10,1,
causal_h48_q065,48,0.65,quantile,13263910.989105027,-194819.310038383,39678.65388158653,235880.43366152295,8509.85,1,best cost
causal_h48_q070,48,0.7,quantile,13308698.915063055,-150031.384080355,26711.59497966156,160907.56720719364,8552.02,1,
causal_h48_q075,48,0.75,quantile,13402722.599526653,-56007.699616757,17308.571249256634,105770.6180648348,8621.53,0,
