policy,beta_lock,beta_open,lock_slots,pv_p0_mode,total_cost,plan_only_cost,emergency_cost,emergency_kwh,vs_frozen_beta
LA_bl1_bo0.2_ls36,1.0,0.2,36,measured,13458730.29914341,12410876.59445206,442684.0050351729,82228.36434132625,0.0
LA_bl1.5_bo0.5_ls36,1.5,0.5,36,measured,13536437.41576679,12687521.475030871,371592.4581532501,69633.2756016231,77707.11662338115
LA_bl1.5_bo0.2_ls36,1.5,0.2,36,measured,13539085.201075695,12412317.295110919,372789.099084938,69902.4027823564,80354.9019322861
LA_bl2_bo0.2_ls36,2.0,0.2,36,measured,13673859.825544063,12413670.108075669,329002.28810773545,62393.61212385634,215129.52640065365
