policy,beta_lock,beta_open,lock_slots,pv_p0_mode,total_cost,plan_only_cost,emergency_cost,emergency_kwh
LA_bl1_bo0_ls36,1.0,0.0,36,zero,13519822.112723226,12224258.75801223,275534.49762373866,54055.47073265975
LA_bl1.5_bo0_ls36,1.5,0.0,36,zero,13660227.309160383,12227520.239722997,256919.06112481255,50237.97720926641
