date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-02-01,True,6000.0,2942.069156370372,1200.0,46852.841261,20696.859690122,0.0,0,0.0,20696.859690122,12605.09931088889
2025-02-02,True,2942.069156370372,2318.014135,1200.0,93561.25801599999,67477.4652043407,0.0,0,0.0,67477.4652043407,11980.200232386836
2025-02-03,True,2318.014135,1580.3923988148158,1200.0,89945.9996863,64464.38925796073,6.148898366665321,1,40.9670353679077,64505.35629332864,6320.562359423875
2025-02-04,True,1580.3923988148158,1845.8070726666692,1200.0,88308.52169600001,62911.6467910912,0.0,0,0.0,62911.6467910912,2133.7811321399313
2025-02-05,True,1845.8070726666692,1721.1505654444459,1200.0,88374.56345100001,63203.0957324478,0.0,0,0.0,63203.0957324478,3369.4290217695566
2025-02-06,True,1721.1505654444459,2212.362379888891,1200.0,92366.105561,66818.54733579341,0.0,0,0.0,66818.54733579341,7229.306766666667
2025-02-07,True,2212.362379888891,2729.0528080740733,1200.0,49860.70313,21416.358947843,0.0,0,0.0,21416.358947843,13945.526523374498
2025-02-08,True,2729.0528080740733,2249.041280037037,1200.0,42417.49921750001,18116.20939374165,0.0,0,0.0,18116.20939374165,7920.236869413585
2025-02-09,True,2249.041280037037,1836.244691703706,1200.0,88631.227834,63580.134844741406,0.0,0,0.0,63580.134844741406,5601.517855514412
2025-02-10,True,1836.244691703706,2075.5111704444453,1200.0,88618.989673,61456.7159495928,0.0,0,0.0,61456.7159495928,10364.203851399183
2025-02-11,True,2075.5111704444453,1342.9726237777786,1200.0,84201.343036,58531.2832548501,152.0727367666673,6,856.2753982439376,59387.55865309404,5819.157085061735
2025-02-12,True,1342.9726237777786,2058.574050370369,1200.0,86790.31033,59686.0777795776,0.0,0,0.0,59686.0777795776,6878.734946098766
2025-02-13,True,2058.574050370369,2225.0322751111125,1200.0,87647.4822709,60564.00081778914,0.0,0,0.0,60564.00081778914,12483.276499176955
2025-02-14,True,2225.0322751111125,2487.3432978148144,1200.0,40987.055083,17457.4000596656,0.0,0,0.0,17457.4000596656,7392.356223246916
