scheme,hat0_total_cost,oracle_total_cost,forecast_gap,forecast_gap_pct,frozen_typical_tariff_cost,env_gap_oracle_minus_frozen,env_gap_pct,total_gap_hat0_minus_frozen,total_gap_pct
Q4-2 C_pv7d_q82,14480739.959382232,14398673.773153087,82066.18622914515,0.5699565635146265,13765167.58173598,633506.1914171074,4.602241038152427,715572.3776462525,5.1984283765327675
Q4-3 M1,14233917.42933525,14150922.483567754,82994.94576749578,0.5864984835007799,13519092.792762008,631829.6908057462,4.673610134135789,714824.636573242,5.287519270198014
