date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-02-01,True,6000.0,2837.7529877037045,1200.0,47264.507807,20476.3579164882,0.0,0,0.0,20476.3579164882,12753.286674460907
2025-02-02,True,2837.7529877037045,2416.1172434814816,1200.0,93472.5174691,66915.86124072107,0.0,0,0.0,66915.86124072107,11730.54207493828
2025-02-03,True,2416.1172434814816,1580.3923988148158,1200.0,89509.3337429,63953.6577200771,8.755072233332271,1,58.33066875457625,64011.988388831676,6166.958583991773
2025-02-04,True,1580.3923988148158,1814.4359775925946,1200.0,88165.354318,62456.147983109804,0.0,0,0.0,62456.147983109804,2110.203690041162
2025-02-05,True,1814.4359775925946,1722.590931000004,1200.0,88754.43536199999,62814.9747339123,0.0,0,0.0,62814.9747339123,3319.7837307819036
2025-02-06,True,1722.590931000004,2265.9183512592626,1200.0,92311.89498699999,66256.409536148,0.0,0,0.0,66256.409536148,7131.262073004123
2025-02-07,True,2265.9183512592626,2732.810074407406,1200.0,50199.078755,21293.982107060503,0.0,0,0.0,21293.982107060503,13983.122254958857
2025-02-08,True,2732.810074407406,2251.9621595555554,1200.0,42588.360900499996,17733.32810800255,0.0,0,0.0,17733.32810800255,7923.842335623454
2025-02-09,True,2251.9621595555554,1799.676140629629,1200.0,88773.614973,62928.691837265,0.0,0,0.0,62928.691837265,5646.581994279848
2025-02-10,True,1799.676140629629,1889.7617054074067,1200.0,88869.91262300001,61053.6412040446,0.0,0,0.0,61053.6412040446,10554.892882057615
2025-02-11,True,1889.7617054074067,1342.9726237777786,1200.0,84662.3219447,58204.481916154604,153.97801573333246,6,877.3738703223105,59081.85578647692,5889.402484609058
2025-02-12,True,1342.9726237777786,2037.043417148146,1200.0,87148.815557,59259.385126602305,0.0,0,0.0,59259.385126602305,6920.83937812346
2025-02-13,True,2037.043417148146,2094.284369037038,1200.0,87942.0438947,60073.474594436935,0.0,0,0.0,60073.474594436935,12454.69383646091
2025-02-14,True,2094.284369037038,2459.9159891111103,1200.0,41470.048437,17278.9107209156,0.0,0,0.0,17278.9107209156,7457.6861753127605
2025-02-15,True,2459.9159891111103,2122.9919732222224,1200.0,39908.5499726,17164.954781287997,0.0,0,0.0,17164.954781287997,7575.489096920989
2025-02-16,True,2122.9919732222224,1922.1666741481504,1200.0,85132.894744,58279.707105252004,0.0,0,0.0,58279.707105252004,5474.957830637857
