slot,start_min,end_min,price_yuan_per_kwh,load_kw,pv_kw,net_kw,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_end_kwh,soc0_kwh,date,policy
43,420,430,0.8334,4880.33,1693.2375,3187.0925,598.15778,66.97569667,0,0,0,6881.479048,2118.066053,2025-03-20,D_pv7d_adaptive
44,430,440,0.8092,4689.3761,2009.9231,2679.453,520.10059,73.52509,0,0,0,6947.651629,2118.066053,2025-03-20,D_pv7d_adaptive
45,440,450,0.7972,4713.3646,2305.9149,2407.4497,480.8799,79.63828333,0,0,0,7019.326084,2118.066053,2025-03-20,D_pv7d_adaptive
46,450,460,0.7644,4827.2,2609.7375,2217.4625,450.03914,80.46205667,0,0,0,7091.741935,2118.066053,2025-03-20,D_pv7d_adaptive
47,460,470,0.6899,4578.156,2894.0148,1684.1412,620.41264,339.72244,0,0,0,7397.492131,2118.066053,2025-03-20,D_pv7d_adaptive
48,470,480,0.86,5187.0368,3179.5684,2007.4684,0,0,334.5780667,0,0,7025.738724,2118.066053,2025-03-20,D_pv7d_adaptive
49,480,490,1.1617,6405.59,3476.5125,2929.0775,0,0,488.1795833,0,0,6483.316965,2118.066053,2025-03-20,D_pv7d_adaptive
50,490,500,1.1683,6658.0486,3761.2255,2896.8231,0,0,482.80385,0,0,5946.868242,2118.066053,2025-03-20,D_pv7d_adaptive
51,500,510,1.0956,6606.6001,3976.3717,2630.2284,0,0,438.3714,0,0,5459.788909,2118.066053,2025-03-20,D_pv7d_adaptive
52,510,520,1.0849,6687.27,4220.325,2466.945,0,0,411.1575,0,0,5002.947242,2118.066053,2025-03-20,D_pv7d_adaptive
53,520,530,1.061,6649.776,4653.7429,1996.0331,0,0,332.6721833,0,0,4633.311483,2118.066053,2025-03-20,D_pv7d_adaptive
54,530,540,1.043,6705.5335,5037.5027,1668.0308,0,0,278.0051333,0,0,4324.416891,2118.066053,2025-03-20,D_pv7d_adaptive
55,540,550,1.036,6757.81,5180.8875,1576.9225,0,0,262.8204167,0,0,4032.394205,2118.066053,2025-03-20,D_pv7d_adaptive
56,550,560,1.0147,6494.2004,5166.4978,1327.7026,0,0,221.2837667,0,0,3786.523354,2118.066053,2025-03-20,D_pv7d_adaptive
57,560,570,0.9922,6436.4392,5533.329,903.1102,0,0,150.5183667,0,0,3619.280724,2118.066053,2025-03-20,D_pv7d_adaptive
58,570,580,0.97,6570.85,6107.7375,463.1125,0,0,77.18541667,0,0,3533.51915,2118.066053,2025-03-20,D_pv7d_adaptive
59,580,590,0.9422,6399.3635,6182.795,216.5685,0,0,36.09475,0,0,3493.413872,2118.066053,2025-03-20,D_pv7d_adaptive
60,590,600,0.9569,6445.9301,6198.386,247.5441,0,0,41.25735,0,0,3447.572372,2118.066053,2025-03-20,D_pv7d_adaptive
61,600,610,0.9977,6697.43,6426.1875,271.2425,0,0,45.20708333,0,0,3397.342279,2118.066053,2025-03-20,D_pv7d_adaptive
62,610,620,0.9919,6577.9956,6675.2481,-97.2525,0,16.20875,0,0,0,3411.930154,2118.066053,2025-03-20,D_pv7d_adaptive
