period,purchase_kwh
10:00-10:10,0.0
12:00-12:10,486.4029
14:00-14:10,0.0
16:00-16:10,394.93148
18:00-18:10,636.98262
20:00-20:10,0.0
daily_purchase_kwh,59482.69891
daily_cost_yuan,35126.848552497
