date,total_cost,plan_cost,emergency_cost,emergency_kwh,beta_lock,beta_open,label
2025-02-01,17823.56501791416,17988.1619520854,551.131753303958,136.08477326666434,0.0,0.0,LA_bl0_bo0
2025-02-02,61116.19772641654,59901.4658062499,2310.614966593991,364.9224729999986,0.0,0.0,LA_bl0_bo0
2025-02-03,69501.04344256755,59775.222394075194,9436.334260078853,1651.7320284766545,0.0,0.0,LA_bl0_bo0
2025-02-04,65873.35690295043,61578.899470238,1693.3057772260277,310.74641723332616,0.0,0.0,LA_bl0_bo0
2025-02-05,66241.03703874991,56372.0886268101,4228.638502972255,733.7711795333275,0.0,0.0,LA_bl0_bo0
2025-02-06,65792.8419708409,64502.49058373405,2263.1587639534287,405.4559182666657,0.0,0.0,LA_bl0_bo0
2025-02-07,17871.725369011736,18573.734319773,379.66736039913667,94.99921406666752,0.0,0.0,LA_bl0_bo0
2025-02-08,17323.888304617292,14346.349263753998,1456.6985207591933,293.5540505666654,0.0,0.0,LA_bl0_bo0
2025-02-09,61931.78157758525,59247.1460928137,911.982801201098,178.51107023333262,0.0,0.0,LA_bl0_bo0
2025-02-10,56714.68498830109,53528.87329416949,1833.150801519996,374.228595799996,0.0,0.0,LA_bl0_bo0
2025-02-11,61792.460503587696,52688.25916114739,5810.3284589688765,1068.3734444666625,0.0,0.0,LA_bl0_bo0
2025-02-12,64335.57529516393,54067.8376103114,8718.339631063964,1581.6194425333329,0.0,0.0,LA_bl0_bo0
2025-02-13,52603.671975042605,51177.86780090545,474.2159776951348,94.26044600000003,0.0,0.0,LA_bl0_bo0
2025-02-14,15547.613518994596,14680.14483763341,0.0,0.0,0.0,0.0,LA_bl0_bo0
2025-02-15,16385.843053338645,15041.590256466003,960.8625690830931,254.47905049999875,0.0,0.0,LA_bl0_bo0
2025-02-16,60707.827581517275,56751.2168354333,3736.4509420522027,695.2885313666585,0.0,0.0,LA_bl0_bo0
2025-02-17,55980.054701157555,55367.4919159334,1568.2279272813569,266.51695858666415,0.0,0.0,LA_bl0_bo0
2025-02-18,55681.048472533665,45189.5500497366,261.30430480666803,52.03843166666695,0.0,0.0,LA_bl0_bo0
2025-02-19,59245.9199460489,46812.327437422,6988.9824780258095,1300.1308785333163,0.0,0.0,LA_bl0_bo0
2025-02-20,54707.47503495905,52420.93750385203,2596.06447603633,501.4342171333326,0.0,0.0,LA_bl0_bo0
2025-02-21,14777.757257238798,14586.7894850573,0.0,0.0,0.0,0.0,LA_bl0_bo0
2025-02-22,15485.397941234285,14448.0360695772,388.7711389061843,78.11908731332898,0.0,0.0,LA_bl0_bo0
2025-02-23,53687.29173925542,50651.228451528295,1613.5802871325786,324.29152586665975,0.0,0.0,LA_bl0_bo0
2025-02-24,49862.42386969585,48218.97829001888,1038.6963965679715,210.5369603333338,0.0,0.0,LA_bl0_bo0
2025-02-25,50980.25457195476,46516.49923368226,2986.813488485276,599.289437233329,0.0,0.0,LA_bl0_bo0
2025-02-26,54156.323169459196,43480.334428905466,4086.0442076311265,765.3142785333321,0.0,0.0,LA_bl0_bo0
2025-02-27,50642.16913138079,44818.2254383346,4055.699187311487,755.4019467999976,0.0,0.0,LA_bl0_bo0
2025-02-28,14069.348741837279,13813.92683406436,248.83585998551985,61.345006333329735,0.0,0.0,LA_bl0_bo0
2025-03-01,16975.13820596486,14544.5058227981,2801.1788310273596,578.5717764666655,0.0,0.0,LA_bl0_bo0
2025-03-02,58389.53328484588,51721.050026337296,5582.001650785427,1015.7392333166588,0.0,0.0,LA_bl0_bo0
2025-03-03,57899.15225794288,51934.856773783,5217.241873928238,1005.1001359219936,0.0,0.0,LA_bl0_bo0
2025-03-04,50977.5691299318,43250.5117579542,3.1064865000005213,0.6247333333334382,0.0,0.0,LA_bl0_bo0
2025-03-05,51083.31393923396,45573.1662149146,3886.701867722661,719.7602957333322,0.0,0.0,LA_bl0_bo0
2025-03-06,46063.18302670495,43849.7117052246,603.4215906517516,195.59240379999244,0.0,0.0,LA_bl0_bo0
2025-03-07,15089.070532732065,13964.4191289715,1699.4265898608155,408.426193766663,0.0,0.0,LA_bl0_bo0
2025-03-08,14460.848622226777,12278.65004991717,773.4277415222602,235.56342519999802,0.0,0.0,LA_bl0_bo0
2025-03-09,45412.41249840005,44793.6532103495,1045.678715443803,203.47623780000055,0.0,0.0,LA_bl0_bo0
2025-03-10,51874.220913346406,44261.342646404,3948.518259223582,757.2618883333304,0.0,0.0,LA_bl0_bo0
2025-03-11,51517.537990285055,35452.60499215,3097.904290486549,551.2004014333303,0.0,0.0,LA_bl0_bo0
2025-03-12,47004.18153537091,42529.765860768195,3878.1422186370146,709.8028891666545,0.0,0.0,LA_bl0_bo0
2025-03-13,48406.94739623954,45689.0358001828,1170.6853139520426,187.13633839999625,0.0,0.0,LA_bl0_bo0
2025-03-14,12290.3039851917,12356.5768226662,0.0,0.0,0.0,0.0,LA_bl0_bo0
2025-03-15,14356.81089975261,12062.18153744178,1961.6088927225017,527.2419244999959,0.0,0.0,LA_bl0_bo0
2025-03-16,44479.64564981674,42664.5637802,503.92501157724735,94.86291636666283,0.0,0.0,LA_bl0_bo0
2025-03-17,41021.05277100897,38204.268153181605,924.9563375476537,177.24511046665808,0.0,0.0,LA_bl0_bo0
2025-03-18,44222.70220836672,42316.607929993006,1208.9163122552086,265.6319944666622,0.0,0.0,LA_bl0_bo0
2025-03-19,43407.61499310616,35884.86613481074,1827.6175290674694,360.0602672333306,0.0,0.0,LA_bl0_bo0
2025-03-20,47612.27953514672,42086.548920813,4238.700743043223,763.7417915466567,0.0,0.0,LA_bl0_bo0
