label,feature,q_min,k,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_n_days,tune_mean_q,oos_total_cost,oos_plan_cost,oos_emergency_cost,oos_emergency_kwh,oos_n_days,oos_mean_q,full_total_cost,full_plan_cost,full_emergency_cost,full_emergency_kwh,full_n_days,full_mean_q,n_validation_errors,tune_gain_vs_q80,oos_gain_vs_q80,full_gain_vs_q80
fixed_q80,,0.8,0.0,5752019.107827847,5498680.987604624,253338.12022322242,41734.09940964128,150,0.7999999999999998,8013148.473908133,7871092.474946132,142055.99896199984,25176.328228604394,184,0.7999999999999999,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,334,0.7999999999999998,0,,,
resid_vol7_qmin0.60_k0.20,resid_vol7,0.6,0.2,5733065.2237749975,5428903.661269657,304161.5625053392,49603.37787178125,150,0.7633333333333332,8090823.1455057,7510601.0632080445,580222.082297656,96837.48667399508,184,0.6722826086956522,13823888.3692807,12939504.7244777,884383.644802995,146440.86454577633,334,0.7131736526946107,0,18953.884052849375,-77674.67159756739,-58720.787544719875
resid_vol7_qmin0.70_k0.10,resid_vol7,0.7,0.1,5738978.584082667,5476046.125045855,262932.45903681114,43357.084358707936,150,0.7886666666666664,7960619.834485824,7685838.497002013,274781.3374838111,47111.634227799914,184,0.7391304347826086,13699598.418568492,13161884.622047868,537713.7965206222,90468.71858650786,334,0.7613772455089821,0,13040.523745180108,52528.63942230865,65569.16316748783
resid_vol7_qmin0.65_k0.20,resid_vol7,0.65,0.2,5739936.3452173155,5520699.101445236,219237.24377207935,36149.10343442663,150,0.8033333333333333,7957562.824562119,7704618.900893975,252943.92366814445,43740.63265211324,184,0.7434782608695653,13697499.169779435,13225318.002339212,472181.16744022374,79889.73608653988,334,0.7703592814371257,0,12082.762610531412,55585.64934601355,67668.41195654497
resid_vol7_qmin0.75_k0.10,resid_vol7,0.75,0.1,5747572.049632799,5572825.087555112,174746.9620776872,29085.873445583315,150,0.8243333333333331,8006023.911224967,7892418.286951184,113605.62427378286,20664.605800767717,184,0.803804347826087,13753595.960857766,13465243.374506295,288352.58635147,49750.47924635104,334,0.8130239520958082,0,4447.058195048012,7124.562683166005,11571.620878214017
resid_vol7_qmin0.60_k0.30,resid_vol7,0.6,0.3,5747931.1964135375,5593899.711139933,154031.48527360577,25569.44806283663,150,0.8226666666666667,8068833.0963167325,7632269.472161734,436563.6241549988,73559.66136544512,184,0.708695652173913,13816764.292730272,13226169.183301665,590595.1094286045,99129.10942828178,334,0.7598802395209581,0,4087.911414309405,-55684.62240859959,-51596.71099429205
