label,feature,q_min,k,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_n_days,tune_mean_q,oos_total_cost,oos_plan_cost,oos_emergency_cost,oos_emergency_kwh,oos_n_days,oos_mean_q,full_total_cost,full_plan_cost,full_emergency_cost,full_emergency_kwh,full_n_days,full_mean_q,n_validation_errors
resid_vol7_qmin0.65_k0.20,resid_vol7,0.65,0.2,5739936.3452173155,5520699.101445236,219237.24377207935,36149.10343442663,150,0.8033333333333333,7957562.824562119,7704618.900893975,252943.92366814445,43740.63265211324,184,0.7434782608695653,13697499.169779435,13225318.002339212,472181.16744022374,79889.73608653988,334,0.7703592814371257,0
fixed_q80,,0.8,0.0,5752019.107827847,5498680.987604624,253338.12022322242,41734.09940964128,150,0.7999999999999998,8013148.473908133,7871092.474946132,142055.99896199984,25176.328228604394,184,0.7999999999999999,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,334,0.7999999999999998,0
