date,q_load,q_pv,q_source,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh,label,feature,feature_value,feature_percentile
2025-02-01,0.6,0.4,fixed,6000.0,2332.459632481481,40735.827636,21771.341623084998,0.0,0.0,21771.341623084998,7106.895038798355,0,0.0,fixed_q60,,,
2025-02-02,0.6,0.4,fixed,2332.459632481481,1706.44922822222,88296.537373,56137.1401039708,0.0,0.0,56137.1401039708,6406.301737613175,0,0.0,fixed_q60,,,
2025-02-03,0.6,0.4,fixed,1706.44922822222,1345.157004518519,84646.31182500001,52756.2907943248,591.4012602666644,3984.866683276519,56741.157477601315,850.9022028395077,0,0.0,fixed_q60,,,
2025-02-04,0.6,0.4,fixed,1345.157004518519,1232.0756707037044,82619.232471,51508.4484617513,3085.43841756666,19071.944671281766,70580.39313303307,149.31031333333476,0,0.0,fixed_q60,,,
2025-02-05,0.6,0.4,fixed,1232.0756707037044,1400.278474703704,83491.968853,51911.1848002887,2050.785426016663,12160.705490824126,64071.890291112824,176.7664000000011,0,0.0,fixed_q60,,,
2025-02-06,0.6,0.4,fixed,1400.278474703704,1552.0895865925954,87212.59251500001,55027.551169988,27.707125333333693,161.63158209866876,55189.18275208667,2220.0428017572085,0,0.0,fixed_q60,,,
2025-02-07,0.6,0.4,fixed,1552.0895865925954,2145.2601965925915,44970.638297000005,23771.067862243603,0.0,0.0,23771.067862243603,8963.345519497954,0,0.0,fixed_q60,,,
2025-02-08,0.6,0.4,fixed,2145.2601965925915,1615.2948454444438,37438.442098,19692.093505495897,0.0,0.0,19692.093505495897,2967.7553112921787,0,0.0,fixed_q60,,,
2025-02-09,0.6,0.4,fixed,1615.2948454444438,1212.636511148148,84335.123887,52901.589093465096,71.18860696666756,325.8856116524409,53227.474705117536,700.9576817489843,0,0.0,fixed_q60,,,
2025-02-10,0.6,0.4,fixed,1212.636511148148,1336.3553285555568,84440.00962400001,52809.25586864349,0.0,0.0,52809.25586864349,5871.888975818934,0,0.0,fixed_q60,,,
2025-02-11,0.6,0.4,fixed,1336.3553285555568,1200.0,80114.61531305,49575.179589291656,871.8201130333307,5596.959214312315,55172.13880360397,1425.5661957248985,0,0.0,fixed_q60,,,
2025-02-12,0.6,0.4,fixed,1200.0,1320.5900949259267,82016.687875,51071.5316201309,338.011287833329,2357.966743925303,53429.498364056206,2671.7755596502116,0,0.0,fixed_q60,,,
2025-02-13,0.6,0.4,fixed,1320.5900949259267,1533.5862418518516,83538.36573899999,52380.2579165897,0.0,0.0,52380.2579165897,8029.896585193424,0,0.0,fixed_q60,,,
2025-02-14,0.6,0.4,fixed,1533.5862418518516,1920.4994710740739,37503.422296000004,19833.0720113608,0.0,0.0,19833.0720113608,3825.715240526751,0,0.0,fixed_q60,,,
2025-02-15,0.6,0.4,fixed,1920.4994710740739,1530.541959703705,36286.076783,19170.952690425,0.0,0.0,19170.952690425,4134.867791971196,0,0.0,fixed_q60,,,
2025-02-16,0.6,0.4,fixed,1530.541959703705,1313.8904244444452,80310.780922,49975.9225225848,68.08798473333047,357.9676577227133,50333.89018030751,826.2548045555704,0,0.0,fixed_q60,,,
2025-02-17,0.6,0.4,fixed,1313.8904244444452,1287.1378461851862,79804.786076,49372.1627648751,77.49231499999848,498.684822283656,49870.84758715876,4750.62794295885,0,0.0,fixed_q60,,,
2025-02-18,0.6,0.4,fixed,1287.1378461851862,1253.3877448888888,76582.66441,47034.1133087146,487.76857859999905,3042.721380289709,50076.83468900431,635.9143368477418,0,0.0,fixed_q60,,,
2025-02-19,0.6,0.4,fixed,1253.3877448888888,1200.0,77405.63318,47620.610828494304,1200.2359482033248,6245.526641319111,53866.13746981342,1338.4246033333343,0,0.0,fixed_q60,,,
2025-02-20,0.6,0.4,fixed,1200.0,1766.801851925928,80284.099154,49776.934149546105,2.5527439999999615,11.95705289599982,49788.89120244211,4432.022686971194,0,0.0,fixed_q60,,,
2025-02-21,0.6,0.4,fixed,1766.801851925928,2084.594591925926,36646.535183,19355.979080316203,0.0,0.0,19355.979080316203,7472.999893740749,0,0.0,fixed_q60,,,
2025-02-22,0.6,0.4,fixed,2084.594591925926,1787.2919116296296,34879.965025,18376.7613952898,0.0,0.0,18376.7613952898,4186.614425452677,0,0.0,fixed_q60,,,
2025-02-23,0.6,0.4,fixed,1787.2919116296296,1328.0132790370383,77639.979365,48113.431377502595,0.0,0.0,48113.431377502595,2298.500931724285,0,0.0,fixed_q60,,,
2025-02-24,0.6,0.4,fixed,1328.0132790370383,1299.0434311111112,77110.64855000001,47394.6858490963,41.18044996666786,159.03283071217365,47553.71867980847,4945.613280057616,0,0.0,fixed_q60,,,
2025-02-25,0.6,0.4,fixed,1299.0434311111112,1206.0670650000002,74275.6967413,45314.7957792737,679.0111904666617,3564.4759926547645,48879.27177192846,5197.297644201239,0,0.0,fixed_q60,,,
2025-02-26,0.6,0.4,fixed,1206.0670650000002,1430.747596777778,74419.42315799999,45561.8692637263,551.3300608000022,3843.1300765818164,49404.99934030812,1773.302103086424,0,0.0,fixed_q60,,,
2025-02-27,0.6,0.4,fixed,1430.747596777778,1451.9922099259309,75571.512789,46499.397015127106,2.0500243333332264,9.326585704499514,46508.7236008316,4070.50905168725,0,0.0,fixed_q60,,,
2025-02-28,0.6,0.4,fixed,1451.9922099259309,1978.7867898148172,35624.29602,18787.5561593924,0.0,0.0,18787.5561593924,8613.484352921823,0,0.0,fixed_q60,,,
2025-03-01,0.6,0.4,fixed,1978.7867898148172,1751.583832148147,33857.16661596,17764.767782673465,0.0,0.0,17764.767782673465,7489.1651690299705,0,0.0,fixed_q60,,,
2025-03-02,0.6,0.4,fixed,1751.583832148147,1200.0,72323.4045185,44498.76306556195,3530.351153066663,23438.271043607212,67937.03410916917,159.21238333333383,0,0.0,fixed_q60,,,
2025-03-03,0.6,0.4,fixed,1200.0,1298.8173951111112,71872.785308,43938.0809308718,4533.950915666662,26919.67663864547,70857.75756951727,326.59828082304864,0,0.0,fixed_q60,,,
2025-03-04,0.6,0.4,fixed,1298.8173951111112,1200.0,70296.17966,42883.975250028,2824.5419781333308,15932.43710738433,58816.41235741233,28.492533333333313,0,0.0,fixed_q60,,,
2025-03-05,0.6,0.4,fixed,1200.0,1401.5388037407404,72647.00554000001,44129.351535293,187.50807033333342,1283.035228292,45412.386763585,2296.714825432107,0,0.0,fixed_q60,,,
2025-03-06,0.6,0.4,fixed,1401.5388037407404,1408.439463851856,74528.33313340001,45781.84437957112,0.0,0.0,45781.84437957112,4376.574649053502,0,0.0,fixed_q60,,,
2025-03-07,0.6,0.4,fixed,1408.439463851856,2021.8047279629623,33838.570345,17911.8449479122,0.0,0.0,17911.8449479122,9342.895786028814,0,0.0,fixed_q60,,,
2025-03-08,0.6,0.4,fixed,2021.8047279629623,1883.2968225185205,30826.889764,16413.8633807905,229.94952380000058,880.1924546886021,17294.0558354791,9330.58318000823,0,0.0,fixed_q60,,,
2025-03-09,0.6,0.4,fixed,1883.2968225185205,1343.4936871481495,72591.46419,44545.40486871,0.0,0.0,44545.40486871,5816.766887613176,0,0.0,fixed_q60,,,
2025-03-10,0.6,0.4,fixed,1343.4936871481495,1280.7695158888896,72237.85321,44121.313276976,50.2462890666673,346.2141595607053,44467.5274365367,97.44346670782784,0,0.0,fixed_q60,,,
2025-03-11,0.6,0.4,fixed,1280.7695158888896,1338.7424130000004,67394.11373,40526.507533478994,1788.781552933331,11753.623244161372,52280.13077764037,1152.634001028814,0,0.0,fixed_q60,,,
2025-03-12,0.6,0.4,fixed,1338.7424130000004,1216.802721,68939.028235,41693.5151539525,310.0799396000071,2052.5221660476514,43746.037320000156,2859.258804444452,0,0.0,fixed_q60,,,
2025-03-13,0.6,0.4,fixed,1216.802721,1352.6818991481487,71277.309616,43417.6619321912,1054.7491581666643,7012.719898788402,50430.381830979604,428.48901370370675,0,0.0,fixed_q60,,,
2025-03-14,0.6,0.4,fixed,1352.6818991481487,2267.6571328518526,32496.810157,17190.8534966503,0.0,0.0,17190.8534966503,12623.69793551852,0,0.0,fixed_q60,,,
2025-03-15,0.6,0.4,fixed,2267.6571328518526,1211.9128555555565,30218.044731200003,15868.97565928136,0.0,0.0,15868.97565928136,7660.894901405762,0,0.0,fixed_q60,,,
2025-03-16,0.6,0.4,fixed,1211.9128555555565,1626.648936444448,69940.33407,42388.335820670996,1.6400000000001,7.461180000000455,42395.797000670995,2088.3902771193452,0,0.0,fixed_q60,,,
2025-03-17,0.6,0.4,fixed,1626.648936444448,1530.3790971851888,69863.84057,42217.00330894299,0.0,0.0,42217.00330894299,8376.055280946508,0,0.0,fixed_q60,,,
2025-03-18,0.6,0.4,fixed,1530.3790971851888,1200.0,64617.958230000004,38674.974158595,1804.7491185999934,9073.94092099688,47748.91507959188,1515.6920164609069,0,0.0,fixed_q60,,,
2025-03-19,0.6,0.4,fixed,1200.0,1647.2610425925952,67569.843542,40682.8112426642,595.6299636999977,2949.019255415272,43631.83049807947,4101.965066255147,0,0.0,fixed_q60,,,
2025-03-20,0.6,0.4,fixed,1647.2610425925952,1386.6365500000004,67540.68411999999,40899.31992607,101.11081456666375,705.3490424170463,41604.66896848704,1414.7933847736615,0,0.0,fixed_q60,,,
2025-03-21,0.6,0.4,fixed,1386.6365500000004,1656.7291548518529,30865.590062000003,16171.5042364982,0.0,0.0,16171.5042364982,15702.63215981893,0,0.0,fixed_q60,,,
2025-03-22,0.6,0.4,fixed,1656.7291548518529,2051.605321370369,30344.53619897,15842.237921998334,0.0,0.0,15842.237921998334,11475.304830209876,0,0.0,fixed_q60,,,
2025-03-23,0.6,0.4,fixed,2051.605321370369,1311.354056962963,64892.970149999994,39254.007667526996,125.64713289999958,728.8636203486311,39982.87128787563,2982.4831859259257,0,0.0,fixed_q60,,,
