hour,energy,power,total,pct
0,252.38700203333295,0.0,252.38700203333295,0.3069342362030767
2,243.44647649999953,0.0,243.44647649999953,0.2960614362818455
3,414.10889333333324,0.0,414.10889333333324,0.5036083310795112
4,255.66647,0.0,255.66647,0.3109224803970803
5,144.97030693333326,0.0,144.97030693333326,0.1763020681422872
6,0.0,1267.210022870002,1267.210022870002,1.541086257790401
7,634.5028196666568,0.0,634.5028196666568,0.7716349762630128
8,769.4127949333114,739.9610427000014,1509.3738376333126,1.8355878165932726
9,3351.455810409957,0.0,3351.455810409957,4.07579043710296
10,3152.0981209999754,0.0,3152.0981209999754,3.833346493328939
19,0.0,4471.8592095666745,4471.8592095666745,5.438341435327821
20,36222.98209415317,2717.6185937000046,38940.60068785318,47.356652415232865
21,14379.772188159935,0.0,14379.772188159935,17.487605771252046
22,6784.403791499973,0.0,6784.403791499973,8.2506855704173
23,6426.508703866637,0.0,6426.508703866637,7.815440274587592
