hour,p50,p90,max,slots_over_cap,n_slots
0,-829.8077083333334,-446.92372933333326,137.5906266666666,0,1670
1,-21.62740166666663,23.75597500000008,154.52430999999996,0,2004
2,-9.028900000000021,26.235203333333313,131.71726666666677,0,2004
3,0.3453016666667281,30.956603666666584,155.93461333333335,0,2004
4,0.8601616666665564,28.726025666666615,127.91039999999998,0,2004
5,-5.345425000000091,47.956103666666614,710.715,0,2004
6,508.76612166666666,789.0322466666667,911.2995833333333,55,2004
7,28.44664499999994,404.0806666666667,665.5749999999999,0,2004
8,306.8031249999999,676.7455833333335,909.871549,30,2004
9,21.617916666666588,345.6326616666666,670.3279166666666,0,2004
10,-160.93087500000001,116.4033083333333,478.6520499999999,0,2004
11,-801.9763866666667,-329.05183333333326,-47.53313333333335,0,2004
12,-771.6954883333334,-331.8026333333332,63.19672599999997,0,2004
13,-202.21533333333332,-4.8291271666666225,341.27188333333334,0,2004
14,-20.916283333333297,270.58303833333315,564.2303666666666,0,2004
15,-70.68094000000013,10.343534999999964,142.42891933333334,0,2004
16,-17.151823333333397,31.367639666666697,163.82052,0,2004
17,0.9968449999998512,53.94806233333318,470.1261666666666,0,2004
18,27.014556666666635,485.1008533333333,748.3073333333334,0,2004
19,722.3980416666666,831.2076137666666,931.7704666666666,185,2004
20,706.7547666666667,820.0456996666666,918.7780379999999,132,2004
21,0.7957716666666954,38.916036999999875,489.22323333333327,0,2004
22,-5.481903333333378,28.41228433333327,109.05930999999998,0,2004
23,-3.9491766666666877,29.273355333333267,120.22509333333335,0,2004
