model,terminal_mode,n_days_run,n_official_days,elapsed_s,forecast_s,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_days,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,n_negative_predictions,n_validation_errors,validation_errors_head,feb1_soc0,last_soc24_actual,last_soc24_plan,mean_soc24_actual,mean_soc24_plan,soc_min_actual,soc_max_actual,terminal_lambda,terminal_target_kwh
baseline_7d,none,365,334,32.95295850000002,0.03664310000021942,781.2110842648037,865.7785722188559,153.399706724943,280.94591492543844,18794080.04484238,11464691.81642385,2858054.0800007875,10698,239,16744833.565722711,28209525.38214656,2780457.45374774,0,0,0,[],7310.211665407408,1200.0,1200.0,2741.444036612265,1200.0,1200.0,8524.602754296297,0.0,
xgb_expanding,none,365,334,395.9568756999997,359.9285832000005,136.77211511317373,171.05929563506896,159.11017081690838,298.6074262712012,19994121.471354723,12126660.308769172,524585.515882733,3689,303,3181936.279685089,15308596.58845426,1358969.4733045166,0,0,0,[],2010.3089489259246,1200.0,1200.0,1355.9998351825466,1200.0,1200.0,8481.126651185186,0.0,
xgb_rolling30,none,365,334,130.81051099999786,100.8506458999982,183.83590137972752,226.0145014863436,163.6456682808506,307.94545960635776,19687759.68631909,11916943.406366086,805867.2242630887,4629,278,4912208.619519824,16829152.02588591,1364155.9637965455,0,0,0,[],2010.3089489259246,1200.0,1200.0,1421.6709731513422,1200.0,1200.0,8481.126651185186,0.0,
xgb_rolling60,none,365,334,176.43624959999943,143.79052450000017,163.18200888298273,202.39378367565058,162.11665533388108,305.401746486993,19804296.302665524,11999899.948994117,699540.9242780162,4210,284,4264617.6722301645,16264517.62122428,1364589.168847871,0,0,0,[],2010.3089489259246,1200.0,1200.0,1396.2103986862837,1200.0,1200.0,8481.126651185186,0.0,
