date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,net_alpha,rho,terminal_soc
2025-02-01,True,0.8,0.2,netrho,,,6000.0,4088.4572555925947,2400.0,46861.250984,20542.2614215268,0.0,0,0.0,20542.2614215268,11326.099993012345,0.8,0.625,2400.0
2025-02-02,True,0.8,0.2,netrho,,,4088.4572555925947,3509.39173211111,2400.0,92284.65426000001,66142.474781089,0.0,0,0.0,66142.474781089,10599.408232633752,0.8,0.625,2400.0
2025-02-03,True,0.8,0.2,netrho,,,3509.39173211111,2771.5609362222226,2400.0,88593.8597893,63316.46445897763,4.677905566665004,1,31.166545837905588,63347.631004815536,4914.869496008234,0.8,0.625,2400.0
2025-02-04,True,0.8,0.2,netrho,,,2771.5609362222226,2591.7712959259266,2400.0,86795.5836971,61609.50582941927,140.21997666665902,1,918.4408471666167,62527.94667658589,1357.3018358847758,0.8,0.625,2400.0
2025-02-05,True,0.8,0.2,netrho,,,2591.7712959259266,2909.2048876666686,2400.0,87657.766452,62287.3472580108,311.7217246666651,5,1718.523357808575,64005.870615819375,2442.4119988477382,0.8,0.625,2400.0
2025-02-06,True,0.8,0.2,netrho,,,2909.2048876666686,3414.1909581111126,2400.0,91040.351647,65622.539470082,0.0,0,0.0,65622.539470082,5991.3885915226365,0.8,0.625,2400.0
2025-02-07,True,0.8,0.2,netrho,,,3414.1909581111126,3923.15222774074,2400.0,48573.450433,20907.0873815994,0.0,0,0.0,20907.0873815994,12757.657883876553,0.8,0.625,2400.0
2025-02-08,True,0.8,0.2,netrho,,,3923.15222774074,3410.140455481481,2400.0,41215.041465,17649.987175115202,0.0,0,0.0,17649.987175115202,6796.506051876547,0.8,0.625,2400.0
2025-02-09,True,0.8,0.2,netrho,,,3410.140455481481,3040.1741942962985,2400.0,87589.4503502,62435.42695935737,0.0,0,0.0,62435.42695935737,4421.641881028812,0.8,0.625,2400.0
2025-02-10,True,0.8,0.2,netrho,,,3040.1741942962985,3262.108581000001,2400.0,87464.16955400001,60494.87059273999,0.0,0,0.0,60494.87059273999,9222.088104526752,0.8,0.625,2400.0
2025-02-11,True,0.8,0.2,netrho,,,3262.108581000001,2537.0841247777785,2400.0,83102.088663,57585.758157906,151.18389376666792,6,850.3330355174418,58436.09119342344,4697.7147029094685,0.8,0.625,2400.0
2025-02-12,True,0.8,0.2,netrho,,,2537.0841247777785,3240.630241592592,2400.0,85600.683941,58615.2219287544,0.0,0,0.0,58615.2219287544,5631.115479707825,0.8,0.625,2400.0
2025-02-13,True,0.8,0.2,netrho,,,3240.630241592592,3398.9986866666686,2400.0,86485.8443078,59435.86601983957,0.0,0,0.0,59435.86601983957,11250.389169609061,0.8,0.625,2400.0
2025-02-14,True,0.8,0.2,netrho,,,3398.9986866666686,3676.9477719259253,2400.0,39642.925654299994,16962.14772146714,0.0,0,0.0,16962.14772146714,6177.2866887444425,0.8,0.625,2400.0
2025-02-15,True,0.8,0.2,netrho,,,3676.9477719259253,3203.840769259259,2400.0,38629.554259,16816.591432319598,0.0,0,0.0,16816.591432319598,6491.0085939382725,0.8,0.625,2400.0
2025-02-16,True,0.8,0.2,netrho,,,3203.840769259259,3169.5366708518513,2400.0,83561.192117,57708.144353134994,0.0,0,0.0,57708.144353134994,4081.7028512222314,0.8,0.625,2400.0
2025-02-17,True,0.8,0.2,netrho,,,3169.5366708518513,3026.963526370373,2400.0,82782.86837449999,56499.822915331555,0.0,0,0.0,56499.822915331555,7914.071802405364,0.8,0.625,2400.0
2025-02-18,True,0.8,0.2,netrho,,,3026.963526370373,2795.5748715185205,2400.0,79775.6013264,53420.29482758185,0.0,0,0.0,53420.29482758185,3671.596201637868,0.8,0.625,2400.0
2025-02-19,True,0.8,0.2,netrho,,,2795.5748715185205,2855.053015851853,2400.0,80617.658143,53826.46842678169,13.708442999999988,1,73.36073271449993,53899.82915949619,3427.694130065842,0.8,0.625,2400.0
2025-02-20,True,0.8,0.2,netrho,,,2855.053015851853,3481.240624185187,2400.0,83413.75797,56889.934499949995,0.0,0,0.0,56889.934499949995,7680.140705905358,0.8,0.625,2400.0
2025-02-21,True,0.8,0.2,netrho,,,3481.240624185187,3840.6346174074065,2400.0,38309.657608,16570.990881087502,0.0,0,0.0,16570.990881087502,9014.321936477372,0.8,0.625,2400.0
