name,sim_start,dispatch,mpc_stride,soc_mu,oracle,n_official_days,total_cost,plan_cost,emergency_cost,emergency_kwh,emergency_days,purchase_kwh,curtail_kwh,feb1_soc0,mean_soc24_actual,vs_frozen,n_validation_errors,elapsed_s
oracle_perfect_info,2025-02-01,greedy,,0.0,True,334,12251652.826376177,12251652.550589353,0.27578682572941526,0.04725370705924956,334,20184246.75378932,990168.1347020678,6000.0,1200.000007191739,-1513514.7553598024,0,24.91627050000534
C_q82_frozen,2025-02-01,greedy,,0.0,False,334,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,120,21775550.32405107,2718045.66028875,6000.0,1993.9727928308946,0.0,0,22.968963999999687
C_q82_mu0.25,2025-02-01,greedy,,0.25,False,334,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,120,21775550.32405107,2718045.66028875,6000.0,1993.9727928308946,0.0,0,39.47123150000698
C_q82_mu0.4,2025-02-01,greedy,,0.4,False,334,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,120,21775550.32405107,2718045.66028875,6000.0,1993.9727928308946,0.0,0,31.965331600003992
C_q82_jan_rolled_soc,2025-01-01,greedy,,0.0,False,334,13766587.19638196,13371193.077196738,395394.11918522225,66910.42763824567,120,21778862.80482107,2718045.6602520836,3018.7672740000007,1993.9727928308946,1419.6146459802985,0,32.76925019999908
C_price_q70_90,2025-02-01,greedy,,0.0,False,334,13844016.677705579,13281365.463079462,562651.2146261171,93279.48405787317,161,21861535.98543691,2805405.416649914,6000.0,1985.812919853594,78849.09596959874,0,23.252050800001598
C_price_q60_90,2025-02-01,greedy,,0.0,False,334,13956770.874586878,13014497.267873308,942273.6067135697,153825.81593562043,209,21541224.878447603,2528309.2986324625,6000.0,1847.8385944965523,191603.29285089858,0,28.234553200003575
C_q82_mpc_stride6,2025-02-01,mpc,6.0,0.0,False,334,13998639.991787123,13357678.161359798,640961.8304273243,147588.10321097233,329,21747381.88922107,2789286.76849581,6000.0,2070.334453997276,233472.4100511428,0,118.8698820000136
C_price_q70_95,2025-02-01,greedy,,0.0,False,334,14012812.50813426,13549895.079434473,462917.428699789,76713.82215441985,160,22369702.774342738,3297708.2483893414,6000.0,2140.056305667411,247644.926398281,0,27.041029100000742
