name,sim_start,dispatch,mpc_stride,soc_mu,oracle,n_official_days,total_cost,plan_cost,emergency_cost,emergency_kwh,emergency_days,purchase_kwh,curtail_kwh,feb1_soc0,mean_soc24_actual,vs_frozen,n_validation_errors,elapsed_s,water_value_yuan_per_kwh,q_counts
hindsight_watervalue,,,,,,334,13075784.904922176,12846528.169162717,229256.73575945932,40594.50158857316,181,21044981.717613988,1908904.0191098917,,1649.256914399358,-689382.6768138036,,135.98736489999283,0.6895775000000001,"{'0.6': 181, '0.7': 79, '0.8': 39, '0.85': 17, '0.9': 18}"
hindsight_myopic,,,,,,334,13076402.73437924,12838251.594614215,238151.13976502305,42053.10008035649,190,21033095.90210981,1897957.5106828616,,1637.9394958781338,-688764.8473567404,,164.60629399999743,0.0,"{'0.6': 187, '0.7': 74, '0.8': 39, '0.85': 17, '0.9': 17}"
C_q82_frozen,2025-02-01,greedy,,0.0,False,334,13765167.58173598,13369773.462550757,395394.11918522225,66910.42763824567,120,21775550.32405107,2718045.66028875,6000.0,1993.9727928308946,0.0,0.0,22.968963999999687,,
fixed_q70,2025-02-01,greedy,,0.0,False,334,13773738.158855049,12855286.37902667,918451.7798283795,151387.87109330302,172,21042311.547316343,2039329.1556006717,6000.0,1722.739091574197,8570.577119069174,0.0,39.227377500006696,,
fixed_q85,2025-02-01,greedy,,0.0,False,334,13961477.70742892,13723710.00602658,237767.7014023394,41407.01220314995,95,22274250.84376916,3213386.3175655166,6000.0,2175.8428040230997,196310.1256929394,0.0,33.629549999997835,,
fixed_q60,2025-02-01,greedy,,0.0,False,334,14291316.02445277,12458513.664491039,1832802.359961728,298969.09666658484,239,20466239.097956218,1602459.5902974773,6000.0,1507.6802408877033,526148.4427167904,0.0,39.62455520000367,,
fixed_q90,2025-02-01,greedy,,0.0,False,334,14344811.216171317,14206369.265499022,138441.95067229358,24482.50962750997,69,22948342.72466279,3901488.2592373937,6000.0,2424.75507260121,579643.634435337,0.0,32.62110119999852,,
