date,paid_curtail_kwh,paid_curtail_cost,curtail_kwh,emergency_kwh
2025-02-01,7387.351528666667,3875.9406118531333,12556.397740888891,0.0
2025-02-02,11831.446518971195,7510.547999886739,11974.549002304528,0.0
2025-02-03,6342.602006625519,3917.3910698322043,6342.602006625519,6.148898366665321
2025-02-04,2222.676070000011,1238.0323563258355,2222.676070000011,0.0
2025-02-05,3351.521594897125,2334.189812452313,3351.521594897125,0.0
2025-02-06,7404.354960246916,4721.880776672879,7405.755776913582,0.0
2025-02-07,7174.0832944650265,4074.905263277908,13882.453722942399,0.0
2025-02-08,3250.4995362407426,1912.1457361972741,7920.23700290741,0.0
2025-02-09,5758.7720534485725,3831.4977337826517,5758.7720534485725,0.0
2025-02-10,10385.99695736626,6326.891974765649,10885.659990699594,0.0
2025-02-11,5722.726016049387,3561.1160224806845,5966.183716049387,126.39342900000057
2025-02-12,6728.197605769546,3783.2634035137708,7014.891405769546,0.0
2025-02-13,12006.993108436218,7297.818377680815,12869.10022069959,0.0
2025-02-14,2060.5921849012307,1375.121530656627,7366.819811444444,0.0
2025-02-15,1648.157261735808,1158.4457206898123,7570.804198361319,0.0
2025-02-16,5469.428856485597,3642.939101743293,5535.853306362141,28.319375000000036
2025-02-17,8466.764186548164,4818.2687559008145,9415.206469881496,0.0
2025-02-18,4604.853969913586,2492.821371557217,5004.428753246919,34.206666666666706
2025-02-19,4675.773827193423,2706.8602865464054,4811.706177193422,43.72858400000007
2025-02-20,8174.66457154322,4864.070019530687,9017.732219526759,0.0
2025-02-21,1761.3323226666676,1351.2263494358006,9589.741136288072,0.0
2025-02-22,1008.8655093333338,813.7236151705334,5962.916439786007,0.0
2025-02-23,6371.271110621399,3952.7395222904725,6892.302527288066,0.0
2025-02-24,7700.347636415643,4134.715152384776,9394.949419748977,0.0
2025-02-25,7437.7281811316825,4020.0182876608246,9585.45434779835,88.10340879999842
2025-02-26,4684.345703868319,2539.553334649806,5592.235319362145,0.0
2025-02-27,7296.752470386426,4101.589750969062,8513.567683921407,0.0
2025-02-28,1635.3121884666675,1344.161025832174,10364.062079207411,0.0
2025-03-01,868.9915900333344,729.0146909224272,9201.14261270823,0.0
2025-03-02,1477.2079513991696,747.2849913187216,1477.2079513991696,612.6559295999974
2025-03-03,984.361977201646,398.75439351263793,984.361977201646,917.875209991658
2025-03-04,1499.1426799177032,1122.6177327531,1552.1743653498063,0.6247333333334382
2025-03-05,6381.012417127575,3590.9383628485157,6819.855917127574,4.775967400000241
2025-03-06,7545.680806102887,4111.845735579441,8827.44611334568,0.0
2025-03-07,1547.5775566666678,1216.8879160688007,11114.155361934163,0.0
2025-03-08,1138.5273136666674,981.7891370994669,10645.86403267901,0.0
2025-03-09,8173.049198101654,4961.41809296688,10324.346564315645,0.0
2025-03-10,4152.8188211975375,2815.1233747244096,4513.515537864204,0.0
2025-03-11,3422.94658238684,1667.9736049939088,4552.45468238684,446.20487179999793
2025-03-12,5530.885976337453,2962.4428559726525,7064.032493004119,0.0
2025-03-13,3602.670841399181,2414.37317907261,3639.8708413991812,0.0
2025-03-14,1283.4978596666674,1033.1064734711001,14124.550005139918,0.0
2025-03-15,1087.7024464000003,964.1699571107602,9136.235943148975,0.0
2025-03-16,6189.283574074077,3522.9395098506648,6678.1102240740765,1.6400000000001
2025-03-17,9861.393878584375,5504.784678520666,12866.261415153102,0.0
2025-03-18,3175.518318971199,1840.9505429641913,4280.744035637867,104.44556733333158
2025-03-19,6219.883180946508,3801.459233871061,7877.101529382727,0.0
2025-03-20,4660.422500041156,2705.95255895638,5874.583616707822,0.0
2025-03-21,1297.4905840000006,1138.4262651274669,17142.169172971197,0.0
2025-03-22,849.6797690000011,740.9520364405005,12836.996700481483,0.0
