date,q_load,soc0_actual,soc24_actual,total_cost,plan_cost,emergency_cost,emergency_kwh,curtail_kwh,purchase_kwh
2025-02-01,0.6,6000.0,2332.459632481481,21771.341623084998,21771.341623084998,0.0,0.0,7106.895038798355,40735.827636
2025-02-02,0.6,2332.459632481481,1706.44922822222,56137.1401039708,56137.1401039708,0.0,0.0,6406.301737613175,88296.537373
2025-02-03,0.7,1706.44922822222,1441.3975921851859,56028.58873820518,54592.80537645862,1435.78336174656,213.94540370000135,2974.0476479423974,87090.7757424
2025-02-04,0.8,1441.3975921851859,1749.5589435185198,55829.4008393502,55829.4008393502,0.0,0.0,2222.6760259670896,88372.778506
2025-02-05,0.8,1749.5589435185198,1721.150576555559,55891.7315605355,55891.7315605355,0.0,0.0,3351.521594897125,88645.605342
2025-02-06,0.6,1721.150576555559,1552.0895865925954,55035.48499702667,54873.853414928,161.63158209866876,27.707125333333693,2220.0427593703816,86856.067915
2025-02-07,0.6,1552.0895865925954,2145.2601965925915,23771.067862243603,23771.067862243603,0.0,0.0,8963.345519497954,44970.638297000005
2025-02-08,0.6,2145.2601965925915,1615.2948454444438,19692.093505495897,19692.093505495897,0.0,0.0,2967.7553112921787,37438.442098
2025-02-09,0.6,1615.2948454444438,1212.636511148148,53227.474705117536,52901.589093465096,325.8856116524409,71.18860696666756,700.9576817489843,84335.123887
2025-02-10,0.6,1212.636511148148,1336.3553285555568,52809.25586864349,52809.25586864349,0.0,0.0,5871.888975818934,84440.00962400001
2025-02-11,0.8,1336.3553285555568,1342.9726237777786,54165.04164444508,53421.4607254053,743.5809190397871,126.39342900000057,5966.1837276543265,85340.99503600001
2025-02-12,0.7,1342.9726237777786,1726.5196245185189,52645.3723287737,52645.3723287737,0.0,0.0,4204.084454230461,84141.56741699998
2025-02-13,0.6,1726.5196245185189,1533.5862418518516,52185.8176808207,52185.8176808207,0.0,0.0,8029.896605851859,83087.33294899999
2025-02-14,0.6,1533.5862418518516,1920.4994710740739,19833.0720113608,19833.0720113608,0.0,0.0,3825.715240526751,37503.422296000004
2025-02-15,0.6,1920.4994710740739,1530.541959703705,19170.952690425,19170.952690425,0.0,0.0,4134.867791971196,36286.076783
2025-02-16,0.6,1530.541959703705,1313.8904244444452,50333.89018030751,49975.9225225848,357.9676577227133,68.08798473333047,826.2548045555704,80310.780922
2025-02-17,0.6,1313.8904244444452,1287.1378461851862,49870.84758715876,49372.1627648751,498.684822283656,77.49231499999848,4750.62794295885,79804.786076
2025-02-18,0.7,1287.1378461851862,1340.3957738518523,49571.147644961566,48538.44494600476,1032.7026989568005,163.9521309666668,2418.1588472893104,78641.4819971
2025-02-19,0.7,1340.3957738518523,1314.2662958518529,49446.191907058856,49100.37332624987,345.81858080898417,77.96430136666686,2130.4338983827142,79405.95204430001
2025-02-20,0.6,1314.2662958518529,1766.801851925928,49734.1576686921,49722.2006157961,11.95705289599982,2.5527439999999615,4432.022737917698,80157.136654
2025-02-21,0.6,1766.801851925928,2084.594591925926,19355.979080316203,19355.979080316203,0.0,0.0,7472.999893740749,36646.535183
2025-02-22,0.6,2084.594591925926,1787.2919116296296,18376.7613952898,18376.7613952898,0.0,0.0,4186.614425452677,34879.965025
2025-02-23,0.6,1787.2919116296296,1328.0132790370383,48113.431377502595,48113.431377502595,0.0,0.0,2298.500931724285,77639.979365
2025-02-24,0.6,1328.0132790370383,1299.0434311111112,47553.71867980847,47394.6858490963,159.03283071217365,41.18044996666786,4945.613280057616,77110.64855000001
2025-02-25,0.7,1299.0434311111112,1214.57022,48437.45189571434,46797.58875189953,1639.8631438148052,337.32082459999845,7066.445309168729,76366.17156270001
2025-02-26,0.7,1214.57022,1662.5081465555618,47034.007321078694,47034.007321078694,0.0,0.0,3103.3921113991823,76490.73273
2025-02-27,0.6,1662.5081465555618,1451.9922099259309,46397.710298339596,46388.3837126351,9.326585704499514,2.0500243333332264,4070.5090536625635,75314.00106899999
2025-02-28,0.6,1451.9922099259309,1978.7867898148172,18787.5561593924,18787.5561593924,0.0,0.0,8613.484352921823,35624.29602
2025-03-01,0.6,1978.7867898148172,1751.583832148147,17764.767782673465,17764.767782673465,0.0,0.0,7489.1651690299705,33857.16661596
2025-03-02,0.9,1751.583832148147,1804.1961861481495,50840.4955577552,50840.4955577552,0.0,0.0,4550.18706602469,80990.77318599999
2025-03-03,0.85,1804.1961861481495,1705.9809386592706,48271.8377545382,48271.8377545382,0.0,0.0,1356.1190808642004,77748.4028155
2025-03-04,0.8,1705.9809386592706,1414.895199925926,46100.92390567344,46097.9976547401,2.9262509333338245,0.6247333333334382,1552.1743939835633,74765.935501
2025-03-05,0.6,1414.895199925926,1401.5388037407404,45309.451981945,44026.416753653,1283.035228292,187.50807033333342,2296.714869794249,72408.23314
2025-03-06,0.6,1401.5388037407404,1408.439463851856,45781.84437957112,45781.84437957112,0.0,0.0,4376.574649053502,74528.33313340001
2025-03-07,0.6,1408.439463851856,2021.8047279629623,17911.8449479122,17911.8449479122,0.0,0.0,9342.895786028814,33838.570345
2025-03-08,0.7,2021.8047279629623,2153.9468914814843,17016.537259546,17016.537259546,0.0,0.0,9762.812270082302,31767.996590000002
2025-03-09,0.6,2153.9468914814843,1343.4936871481495,44416.034135249996,44416.034135249996,0.0,0.0,5816.76688646091,72290.74189
2025-03-10,0.6,1343.4936871481495,1280.7695158888896,44467.5274365367,44121.313276976,346.2141595607053,50.2462890666673,97.44346670782784,72237.85321
2025-03-11,0.85,1280.7695158888896,1511.5760121111118,45654.27005994599,45003.244090984,651.0259689619927,95.2242999666632,5975.339468847747,74003.83095500001
2025-03-12,0.7,1511.5760121111118,1326.6354977777755,43074.76737878,43074.76737878,0.0,0.0,4680.9306824691375,70884.27095
2025-03-13,0.7,1326.6354977777755,1566.135873962964,44852.031872514,44852.031872514,0.0,0.0,1145.9057291358008,73284.20121
2025-03-14,0.6,1566.135873962964,2267.6571328518526,17089.4597576463,17089.4597576463,0.0,0.0,12623.69792864609,32259.639067
2025-03-15,0.6,2267.6571328518526,1211.9128555555565,15868.97565928136,15868.97565928136,0.0,0.0,7660.894901405762,30218.044731200003
2025-03-16,0.6,1211.9128555555565,1626.648936444448,42395.797000670995,42388.335820670996,7.461180000000455,1.6400000000001,2088.3902771193452,69940.33407
2025-03-17,0.6,1626.648936444448,1530.3790971851888,42217.00330894299,42217.00330894299,0.0,0.0,8376.055280946508,69863.84057
2025-03-18,0.8,1530.3790971851888,1414.142179555556,42388.51595240863,41876.5399005023,511.976051906325,104.44556733333158,4280.744123209883,69322.271673
2025-03-19,0.7,1414.142179555556,1885.6172674074098,42134.89453303037,42030.315174211006,104.57935881935934,22.19897236666511,5392.010314650209,69436.56541000001
2025-03-20,0.6,1885.6172674074098,1386.6365500000004,41490.58194967105,40785.232907254,705.3490424170463,101.11081456666375,1414.7933745679022,67275.84386
2025-03-21,0.6,1386.6365500000004,1656.7291548518529,16171.5042364982,16171.5042364982,0.0,0.0,15702.63215981893,30865.590062000003
2025-03-22,0.6,1656.7291548518529,2051.605321370369,15842.237921998334,15842.237921998334,0.0,0.0,11475.304830209876,30344.53619897
2025-03-23,0.6,2051.605321370369,1311.354056962963,39982.87128787563,39254.007667526996,728.8636203486311,125.64713289999958,2982.4831859259257,64892.970149999994
2025-03-24,0.6,1311.354056962963,1507.497264851854,39409.787343111,39409.787343111,0.0,0.0,2939.8909496296283,65206.928530000005
2025-03-25,0.85,1507.497264851854,1275.6169080370385,40822.69293121801,40822.69293121801,0.0,0.0,2742.1379024691455,67460.0548
2025-03-26,0.6,1275.6169080370385,1358.9377684444453,39381.75123827232,39005.231172139,376.52006613332503,53.973633333332145,5313.185447078199,64873.221249999995
2025-03-27,0.6,1358.9377684444453,1359.897545666668,39013.56837385,39013.56837385,0.0,0.0,1766.6446882716061,64679.54701000001
2025-03-28,0.6,1359.897545666668,1883.5939887777772,15426.1161374708,15426.1161374708,0.0,0.0,15818.75217649383,29948.181396
2025-03-29,0.6,1883.5939887777772,1730.912874925931,14998.690962093,14998.690962093,0.0,0.0,19023.769214485597,29127.018072
2025-03-30,0.6,1730.912874925931,1566.0637829259283,37353.8030980856,37353.8030980856,0.0,0.0,2755.3653975308716,61888.027838
2025-03-31,0.7,1566.0637829259283,1825.7948172962986,38798.6894576618,38798.6894576618,0.0,0.0,3322.397013621413,64238.349448999994
2025-04-01,0.85,1825.7948172962986,1429.9480046296303,39138.15477964641,38274.071571984,864.0832076624056,125.10702573333413,286.7018514814826,63686.15946
2025-04-02,0.9,1429.9480046296303,2168.389263629631,43903.303139064396,41935.125936578,1968.1772024863972,399.39547786666606,4727.0653762551465,69586.69017999999
2025-04-03,0.6,2168.389263629631,1406.3684481851874,37819.1102499666,37477.256401346596,341.85384862000825,69.59917000000166,3073.0537629094692,62288.24979900001
2025-04-04,0.6,1406.3684481851874,2138.0373587407407,15389.4833936344,15389.4833936344,0.0,0.0,20041.90108227984,29823.508768
2025-04-05,0.6,2138.0373587407407,1444.3037167777793,14226.63617633259,14226.63617633259,0.0,0.0,14030.956062850615,27797.4014229
2025-04-06,0.6,1444.3037167777793,1370.501969703705,37224.75677189359,37224.75677189359,0.0,0.0,4010.400503333338,62342.345964
2025-04-07,0.6,1370.501969703705,1551.474281814818,36967.8105143786,36967.8105143786,0.0,0.0,4783.865361481491,61970.674039000005
2025-04-08,0.85,1551.474281814818,1361.9560371851858,39087.2383012038,38260.971661063,826.2666401408001,118.44418580000001,6334.63228765432,64333.398530000006
2025-04-09,0.8,1361.9560371851858,1458.8489925925928,38197.3553615039,38197.3553615039,0.0,0.0,968.2375057201757,64237.501229
2025-04-10,0.6,1458.8489925925928,1434.8252836296301,36809.310450435114,36410.5810575212,398.7293929139093,64.65989829999633,2198.321158765432,60781.442328000005
2025-04-11,0.6,1434.8252836296301,1661.5337351481485,14245.440716004101,14245.440716004101,0.0,0.0,19973.825584004113,28111.714201
2025-04-12,0.6,1661.5337351481485,1837.44552025926,14123.0511519399,14123.0511519399,0.0,0.0,16305.789211979421,27822.131537
2025-04-13,0.6,1837.44552025926,1384.0727695185174,35340.6816162622,35340.6816162622,0.0,0.0,1192.543279954729,58925.219422999995
2025-04-14,0.6,1384.0727695185174,1383.5301924444448,35805.90391424862,35452.28356568329,353.6203485653298,50.69099033333282,3081.2173451851827,59391.112223000004
2025-04-15,0.8,1383.5301924444448,1633.2536458518507,36566.5422587732,36566.5422587732,0.0,0.0,7514.5148894650265,61520.470488
2025-04-16,0.7,1633.2536458518507,1220.5286434814818,35593.33108372293,35566.3316902512,26.999393471725085,5.470447466664996,627.9333420452706,59753.249535
2025-04-17,0.6,1220.5286434814818,1584.7064100740736,35197.883006831195,35197.883006831195,0.0,0.0,1525.7606503539096,58740.256111999995
2025-04-18,0.6,1584.7064100740736,2110.9167565555567,13967.1054886768,13967.1054886768,0.0,0.0,18318.70642428395,27685.249637999998
2025-04-19,0.6,2110.9167565555567,1783.7297647407393,13221.870788148219,13221.870788148219,0.0,0.0,17555.431456886417,26260.690213799997
2025-04-20,0.6,1783.7297647407393,1644.996570370374,34240.5394864111,34240.5394864111,0.0,0.0,1684.5506787242807,57291.571771
2025-04-21,0.6,1644.996570370374,1236.097033962963,34141.88346077546,33993.1585680475,148.72489272796525,70.14444243333267,5389.875269872441,57072.203516
2025-04-22,0.8,1236.097033962963,1623.8499121481489,34868.077992329796,34868.077992329796,0.0,0.0,2706.9182260082434,58878.294952000004
2025-04-23,0.6,1623.8499121481489,1373.1068850000004,33302.25192557287,32865.7710568542,436.48086871866485,93.92650843333301,692.5941392510395,55485.473792000004
2025-04-24,0.6,1373.1068850000004,1514.3427640740765,34059.7437641711,34059.7437641711,0.0,0.0,6214.556304748972,57263.075517000005
2025-04-25,0.6,1514.3427640740765,1631.4482525925941,13057.872405465401,13057.872405465401,0.0,0.0,21885.842950028808,26432.574009000004
