date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-02-01,0.8,0.0,,6000.0,2469.155006518519,1200.0,2030.3729592592595,10800.0,41895.26928760001,22455.04578950344,0.0,0.0,22455.04578950344,8139.819322291352,0,0,0.0,greedy
2025-02-02,0.8,0.0,,2469.155006518519,1813.9071224814818,1200.0,1407.7681444444443,10800.0,89410.778165,56831.04706028011,0.0,0.0,56831.04706028011,7539.271362222226,0,0,0.0,greedy
2025-02-03,0.8,0.0,,1813.9071224814818,1376.8648465185195,1200.0,1200.0,10800.0,84166.0540644,52394.355989939984,914.8041115333185,6198.215966914651,58592.571956854634,791.257674773669,6,0,0.0,greedy
2025-02-04,0.8,0.0,,1376.8648465185195,1233.682283370371,1200.0,1200.0,10800.0,83351.677648,52079.0287533866,2717.6318961999928,16754.388090011424,68833.41684339802,527.2636895473354,13,0,0.0,greedy
2025-02-05,0.8,0.0,,1233.682283370371,1426.2864325185192,1200.0,1200.0,10597.991084111114,83579.508183,52059.410314145905,2012.6944927966629,12019.190909040555,64078.60122318646,213.03490000000102,12,0,0.0,greedy
2025-02-06,0.8,0.0,,1426.2864325185192,1711.7292949629655,1200.0,1664.8858592592617,10800.0,88548.0843738,56123.41302018354,20.64508153333361,120.54906570296826,56243.96208588651,3520.785303687249,2,0,0.0,greedy
2025-02-07,0.8,0.0,,1711.7292949629655,2408.8894414074066,1200.0,2005.2182962962947,10800.0,46563.004638,24770.039930749605,0.0,0.0,24770.039930749605,10492.14967433746,0,0,0.0,greedy
2025-02-08,0.8,0.0,,2408.8894414074066,1905.3693249999994,1200.0,1593.0555777777768,10800.0,38932.654194,20587.806117009302,0.0,0.0,20587.806117009302,4488.597641983544,0,0,0.0,greedy
2025-02-09,0.8,0.0,,1905.3693249999994,1444.043163925927,1200.0,1383.5307777777784,10800.0,86225.06912170001,54444.47700065309,0.0,0.0,54444.47700065309,2759.3120388477555,0,0,0.0,greedy
2025-02-10,0.8,0.0,,1444.043163925927,1603.3423630370378,1200.0,1442.9382788148152,10800.0,86835.505705,54664.0937740423,0.0,0.0,54664.0937740423,8408.94086811935,0,0,0.0,greedy
2025-02-11,0.8,0.0,,1603.3423630370378,1265.9148500740748,1200.0,1200.0,10800.0,82109.3315685,50990.0520374462,580.4451225000009,3712.3003224733397,54702.35235991954,3383.6140216172885,9,0,0.0,greedy
2025-02-12,0.8,0.0,,1265.9148500740748,1446.00651625926,1200.0,1200.0,10800.0,83373.793458,51963.3326386565,23.79102983333587,165.96622411735103,52129.29886277385,3620.2095126049403,1,0,0.0,greedy
2025-02-13,0.8,0.0,,1446.00651625926,1786.6285494074064,1200.0,1433.6057925925913,10800.0,83897.171194,52662.5000263123,0.0,0.0,52662.5000263123,8305.499253041167,0,0,0.0,greedy
