date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-02-01,0.8,0.625,2400.0,6000.0,3628.2438655185188,2400.0,2030.3729592592595,10800.0,43228.6026476,22985.92913312744,0.0,0.0,22985.92913312744,8185.276172291352,0,0,0.0,rho
2025-02-02,0.8,0.625,2400.0,3628.2438655185188,3004.626103481482,2400.0,1407.7681444444443,10800.0,89456.235025,56808.29751012511,0.0,0.0,56808.29751012511,7547.319217530871,0,0,0.0,rho
2025-02-03,0.8,0.625,2400.0,3004.626103481482,2541.2142050370376,2400.0,1200.0,10800.0,84176.36618439999,52356.12611069498,914.8041115333186,6086.162909834436,58442.28902052942,836.4068447736703,7,0,0.0,rho
2025-02-04,0.8,0.625,2400.0,2541.2142050370376,2331.2249949259267,2400.0,1200.0,10800.0,83391.28948800001,52052.92996588659,2615.312435933325,16423.58275998199,68476.51272586858,527.2637290123524,17,0,0.0,rho
2025-02-05,0.8,0.625,2400.0,2331.2249949259267,2582.4932485185186,2400.0,1200.0,10597.991049666669,83693.349583,52065.10189840991,2012.694523796662,11497.66575250915,63562.76765091906,261.6940000000011,17,0,0.0,rho
2025-02-06,0.8,0.625,2400.0,2582.4932485185186,2911.078585962965,2400.0,1664.8858592592617,10800.0,88596.7435938,56101.25944557554,20.64508153333361,120.54906570296826,56221.808511278505,3521.508440353912,2,0,0.0,rho
2025-02-07,0.8,0.625,2400.0,2911.078585962965,3564.6437314074064,2400.0,2005.2182962962947,10800.0,46563.727528,24727.5861019836,0.0,0.0,24727.5861019836,10541.311454337456,0,0,0.0,rho
2025-02-08,0.8,0.625,2400.0,3564.6437314074064,3107.5045881481483,2400.0,1593.0555777777768,10800.0,38981.816094,20566.7699214413,0.0,0.0,20566.7699214413,4488.485976469143,0,0,0.0,rho
2025-02-09,0.8,0.625,2400.0,3107.5045881481483,2647.0909084074083,2400.0,1383.5307777777784,10800.0,86222.6966317,54400.801632026094,0.0,0.0,54400.801632026094,2759.312046790143,0,0,0.0,rho
2025-02-10,0.8,0.625,2400.0,2647.0909084074083,2766.398887037038,2400.0,1442.9382788148152,10800.0,86832.119305,54619.5751076183,0.0,0.0,54619.5751076183,8445.78483676133,0,0,0.0,rho
2025-02-11,0.8,0.625,2400.0,2766.398887037038,2430.3233210740746,2400.0,1200.0,10800.0,82150.37992849998,50964.8217622892,580.4451225000008,3677.9705167985476,54642.79227908774,3417.1733347037084,10,0,0.0,rho
2025-02-12,0.8,0.625,2400.0,2430.3233210740746,2613.755456296297,2400.0,1200.0,10800.0,83413.339698,51937.094677801506,23.79102983333587,165.96622411735103,52103.060901918856,3660.404332604942,1,0,0.0,rho
2025-02-13,0.8,0.625,2400.0,2613.755456296297,2968.284534518518,2400.0,1433.6057925925913,10800.0,83933.005664,52634.8524401323,0.0,0.0,52634.8524401323,8319.234893411536,0,0,0.0,rho
2025-02-14,0.8,0.625,2400.0,2968.284534518518,3385.035392037036,2400.0,1815.4344770370362,10800.0,37855.253825,20108.148366985402,0.0,0.0,20108.148366985402,4200.42297953498,0,0,0.0,rho
2025-02-15,0.8,0.625,2400.0,3385.035392037036,3005.9475538148154,2400.0,1677.3891705555552,10800.0,36771.241362,19509.4627611908,0.0,0.0,19509.4627611908,4656.757809506175,0,0,0.0,rho
