policy,total_cost,plan_cost,emergency_cost,emergency_kwh,mean_soc24_plan,feb1_soc0,source,mean_soc24_actual,purchase_kwh,load_mae_kw,pv_mae_kw,soc_mu,dispatch,mpc_stride,q_load,q_pv
V1_repo_anchor,15308596.58845426,12126660.308769172,3181936.279685089,524585.515882733,1200.0,2010.3089489259246,results/Q2/full_year/summary_xgb_expanding.json,,,,,,,,,
V1_samestack,14830254.384002263,12218214.274208464,2612040.1097938004,434246.7654770741,1200.0,6000.0,results/Q2/opt/full_year_summary_v1_samestack.json,1344.9573830534491,20121965.923808068,126.04158380686543,159.36286870177886,,,,,
C_pv7d_q82,13631166.166133158,13211475.242407648,419690.92372550955,71414.67347842989,1200.0,6000.0,results/Q2/opt/full_year_summary.json,1915.40376096781,21578964.37066933,170.62483200978576,179.58016026235921,0.0,greedy,,0.8,0.2
