date,official,terminal_mode,soc_mu,dispatch,mpc_stride,policy,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,none,0.0,mpc,1,B_mpc,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766666,126,166415.24691427528,199325.11213036528,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,none,0.0,mpc,1,B_mpc,1200.0,1376.4120834074076,1200.0,96862.8329389,61842.34699131153,1526.1719144819215,43,6548.0228157482625,68390.36980705979,484.270048537368,122.69796617024741,164.7099776274592,57.31615133678117,129.25463548538417,True,0,0.0
2025-01-03,False,none,0.0,mpc,1,B_mpc,1376.4120834074076,8463.337580740743,1200.0,97949.927246,62891.141318571594,0.0,0,0.0,62891.141318571594,42740.291833703704,1901.5644889512805,2083.265014324815,103.04735164397094,233.0154328191749,True,0,0.0
2025-01-04,False,none,0.0,mpc,1,B_mpc,8463.337580740743,1200.0,1200.0,37409.753199,20118.574376433004,3202.1772448096253,38,16950.052297215276,37068.62667364828,217.43279289255213,218.12416806911895,291.64163408522995,80.78075639836304,179.07518396277723,True,0,0.0
2025-01-05,False,none,0.0,mpc,1,B_mpc,1200.0,1200.0,1200.0,46997.8769414,25246.192000217517,45997.617423533324,126,218024.99453053408,243271.18653075158,0.0,1977.3183533528645,2250.5273138174803,71.75040798306844,166.84018207616492,True,0,0.0
2025-01-06,False,none,0.0,mpc,1,B_mpc,1200.0,1240.0867187602723,1200.0,91965.91629300002,58250.2748658995,3432.4490727168277,59,16549.946342405456,74800.22120830495,101.53796831183797,151.08167828776044,199.84566213094325,72.96610285110472,135.9046910873931,True,0,0.0
2025-01-07,False,none,0.0,mpc,1,B_mpc,1240.0867187602723,1200.0,1200.0,71586.519329,42227.44127657999,24231.477818215746,107,120205.56834303481,162433.0096196148,58.212266666667006,979.126066821289,1228.2431796802002,129.54532590056476,275.1611714303568,True,0,0.0
2025-01-08,False,none,0.0,mpc,1,B_mpc,1200.0,1358.0256916296307,1200.0,96801.76091499999,61684.269688613305,1326.4308003433343,47,5181.513094423184,66865.78278303648,3652.4650873374617,133.2605458767361,162.39124652058004,139.17810883942346,353.2091142566808,True,0,0.0
2025-01-09,False,none,0.0,mpc,1,B_mpc,1358.0256916296307,1333.0494017453702,1200.0,94813.27853529999,60641.88039149808,1425.834240270161,37,6924.981574211747,67566.86196570983,466.7809063777794,117.28081300998262,158.3065173787602,84.37559491267038,190.64341275902683,True,0,0.0
2025-01-10,False,none,0.0,mpc,1,B_mpc,1333.0494017453702,7211.6286688888895,1200.0,82947.014385,51345.4589779277,8.526512829121202e-14,0,4.188009938843606e-13,51345.4589779277,28723.9225109105,1407.481569539388,1538.323453146142,103.38943386510579,202.4736129072222,True,0,0.0
2025-01-11,False,none,0.0,mpc,1,B_mpc,7211.6286688888895,1200.0,1200.0,42549.650896,22910.7825505844,875.8332898817011,39,2514.937183793909,25425.719734378312,1125.5409612531387,112.80013000217014,145.68508501584532,76.70964952686164,155.58367533221443,True,0,0.0
2025-01-12,False,none,0.0,mpc,1,B_mpc,1200.0,1875.0429623449106,1200.0,94507.13816070001,59961.73260356554,2872.155252099068,34,13897.400009353254,73859.1326129188,1215.1083459119218,189.1452375,231.45340974449263,75.40091464338303,150.17889144933432,True,0,0.0
2025-01-13,False,none,0.0,mpc,1,B_mpc,1875.0429623449106,1200.0,1200.0,94684.40645,60638.8800360922,571.6330767672373,29,1735.321085050561,62374.20112114277,3079.8352635115193,123.04988353678381,153.9990525122826,125.41319989372295,233.0143600095085,True,0,0.0
2025-01-14,False,none,0.0,mpc,1,B_mpc,1200.0,1200.0,1200.0,93737.65799400001,59491.488943100194,1502.8011033574621,50,6127.815598714356,65619.30454181455,1167.8441888775405,115.88772932400177,144.9614009950557,70.45440624526474,140.72115389510492,True,0,0.0
2025-01-15,False,none,0.0,mpc,1,B_mpc,1200.0,1368.2083544074078,1200.0,93415.954809,59306.19863742669,2204.1507226604103,37,11030.742356926014,70336.94099435271,603.0961760828199,114.32012810058593,151.10481901842093,67.45487381663321,155.95953102895655,True,0,0.0
2025-01-16,False,none,0.0,mpc,1,B_mpc,1368.2083544074078,1260.0915629658562,1200.0,94731.311799,60552.91492566471,1261.344526479786,42,5356.926156968377,65909.84108263308,2347.339511124098,124.59982200792102,155.6328606355815,99.00899156855876,207.95695857646413,True,0,0.0
2025-01-17,False,none,0.0,mpc,1,B_mpc,1260.0915629658562,1348.6515521481513,1200.0,48703.19298,25599.5526276344,176.49214050457198,12,476.32168727092505,26075.874314905323,2223.6370474574205,127.4145228922526,153.26154404525042,72.74206183072526,148.72132275449144,True,0,0.0
2025-01-18,False,none,0.0,mpc,1,B_mpc,1348.6515521481513,1200.0,1200.0,46490.424845999994,24208.4893015754,662.1666299916269,21,2692.185772867784,26900.675074443185,180.42492578390795,120.42057925889759,152.75462621838457,57.51710731340646,119.71907870783987,True,0,0.0
2025-01-19,False,none,0.0,mpc,1,B_mpc,1200.0,1301.4005597037042,1200.0,93655.236494,59324.342771079406,1313.6792759999967,28,6893.650944673767,66217.99371575317,1398.6573611934175,117.54297538519967,146.5596920369078,96.72798498176866,200.38762397845107,True,0,0.0
2025-01-20,False,none,0.0,mpc,1,B_mpc,1301.4005597037042,1531.010075251161,1200.0,92784.338773,58891.8943654027,1172.883519071511,31,5509.029427547244,64400.92379294995,905.1301737186836,106.67647582736544,129.66381768507233,69.66527788411378,149.648231209698,True,0,0.0
2025-01-21,False,none,0.0,mpc,1,B_mpc,1531.010075251161,1504.7093400370406,1200.0,93281.301062,59509.4657215924,284.24849526981245,17,1018.5894121226361,60528.05513371504,5738.471642546334,108.38772528211805,134.95779810895297,198.68227240582968,380.53468154876805,True,0,0.0
2025-01-22,False,none,0.0,mpc,1,B_mpc,1504.7093400370406,1233.9155404444443,1200.0,88100.78890420002,55695.22763413998,5052.967149333325,50,25691.862721172496,81387.09035531248,184.05253333333428,107.08227207573785,132.80193533685795,208.18199944020114,404.17215797537443,True,0,0.0
2025-01-23,False,none,0.0,mpc,1,B_mpc,1233.9155404444443,1296.1481546213831,1200.0,92833.879066,59014.5983036444,1520.2381467727591,35,7566.493440596852,66581.09174424125,79.85106491380566,102.84104014756946,131.71333373775238,65.30468977404468,131.05642845534456,True,0,0.0
2025-01-24,False,none,0.0,mpc,1,B_mpc,1296.1481546213831,1530.4025668888873,1200.0,47575.057796,24740.1333462854,296.09282282248097,14,734.0720908138951,25474.205437099296,3863.252928240816,120.81223391384547,150.3713569178541,141.38628067198994,320.9892161454456,True,0,0.0
2025-01-25,False,none,0.0,mpc,1,B_mpc,1530.4025668888873,1344.373208703704,1200.0,44645.478114,23298.2625686432,277.6186703120004,21,936.1185397820309,24234.38110842523,2767.4047124921867,99.55153916558159,124.82461547471038,110.19594991975626,236.5270113897174,True,0,0.0
2025-01-26,False,none,0.0,mpc,1,B_mpc,1344.373208703704,1200.0,1200.0,89234.953217,56178.5656002084,3003.695364233324,48,14774.051904136602,70952.617504345,162.50893666666832,105.01099395345051,132.97896636015363,122.96455577627054,281.34999261475747,True,0,0.0
2025-01-27,False,none,0.0,mpc,1,B_mpc,1200.0,1221.911634,1200.0,90196.587528,56803.8583839863,247.3574873170142,18,888.5594515279355,57692.417835514236,1581.5474012967247,122.89452994791665,145.03334913642692,75.7456259450012,149.83759176994639,True,0,0.0
2025-01-28,False,none,0.0,mpc,1,B_mpc,1221.911634,1289.0627437534731,1200.0,86719.230793,54381.19049370079,4818.889012344784,46,24355.977166104276,78737.16765980507,144.75458333333393,125.22550783962672,156.86992968477372,162.7235898844686,317.2789425683054,True,0,0.0
