policy,window,n_official_days,total_cost,plan_cost,emergency_cost,emergency_kwh,purchase_kwh,mean_soc24_actual,mean_soc24_plan,feb1_soc0,load_mae_kw,pv_mae_kw,soc_mu,dispatch,q_load,q_pv,pv_source,mpc_stride,elapsed_s
V1,phase1_official,14,658945.0840357889,594162.8180533899,64782.26598239919,10698.629887933284,976766.6849101001,1314.1918491957676,1200.0,6000.0,117.1154181003147,120.03562354124104,0.0,greedy,,,model,,8.595366258000013
A_mu0.25,phase1_official,14,658945.0840357889,594162.8180533899,64782.26598239919,10698.629887933284,976766.6849101001,1314.1918491957676,1200.0,6000.0,117.1154181003147,120.03562354124104,0.25,greedy,,,model,,8.63342594400001
A_mu0.4,phase1_official,14,658945.0840357889,594162.8180533899,64782.26598239919,10698.629887933284,976766.6849101001,1314.1918491957676,1200.0,6000.0,117.1154181003147,120.03562354124104,0.4,greedy,,,model,,8.59012982000013
B_mpc,phase1_official,14,654043.0349529072,594072.4467586959,59970.588194211414,12781.648559818452,976557.0553701,1327.6680321830304,1200.0,6000.0,117.1154181003147,120.03562354124104,0.0,mpc,,,model,1.0,15.078639285000008
C_pv7d_q82,phase1_official,14,646140.9138376154,645958.6411684417,182.2726691736679,32.38621266666689,1048907.541228911,1966.0156932037041,1200.0,6000.0,190.25801288070437,146.5002569700255,0.0,greedy,0.8,0.2,baseline_7d,,0.30482020399995235
V2_mu0_q82,phase1_official,14,647583.526216865,645943.2320852377,1640.2941316273852,350.27370839098893,1048871.797588911,1969.2166788473153,1200.0,6000.0,190.25801288070437,146.5002569700255,0.0,mpc,0.8,0.2,baseline_7d,1.0,6.644235604999949
V2_mu0.25_q82,phase1_official,14,647583.526216865,645943.2320852377,1640.2941316273577,350.2737083909807,1048871.797588911,1969.2166788473153,1200.0,6000.0,190.25801288070437,146.5002569700255,0.25,mpc,0.8,0.2,baseline_7d,1.0,6.6425098760000765
V2_mu0.4_q82,phase1_official,14,647583.526216865,645943.2320852377,1640.2941316273577,350.2737083909807,1048871.797588911,1969.2166788473153,1200.0,6000.0,190.25801288070437,146.5002569700255,0.4,mpc,0.8,0.2,baseline_7d,1.0,6.547558902999981
