model,policy,terminal_mode,soc_mu,dispatch,mpc_stride,n_days_run,n_official_days,elapsed_s,forecast_s,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_days,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,n_negative_predictions,n_validation_errors,validation_errors_head,feb1_soc0,last_soc24_actual,last_soc24_plan,mean_soc24_actual,mean_soc24_plan,soc_min_actual,soc_max_actual,soc_init,terminal_lambda,terminal_target_kwh,q_load,q_pv,pv_source,note
xgb_expanding,V1,none,0.0,greedy,,14.0,14,8.595366258000013,8.36733269299998,117.1154181003147,146.48636208720808,120.03562354124104,242.535853965599,976766.6849101001,594162.8180533899,10698.629887933284,105.0,12.0,64782.26598239919,658945.0840357889,30211.285485180706,0.0,0.0,0.0,[],6000.0,1235.539268481482,1200.0,1314.1918491957676,1200.0,1200.0,1661.9483173333333,feb1_6000,0.0,,,,model,
xgb_expanding,A_mu0.25,none,0.25,greedy,,14.0,14,8.63342594400001,8.36733269299998,117.1154181003147,146.48636208720808,120.03562354124104,242.535853965599,976766.6849101001,594162.8180533899,10698.629887933284,105.0,12.0,64782.26598239919,658945.0840357889,30211.285485180706,0.0,0.0,0.0,[],6000.0,1235.539268481482,1200.0,1314.1918491957676,1200.0,1200.0,1661.9483173333333,feb1_6000,0.0,,,,model,
xgb_expanding,A_mu0.4,none,0.4,greedy,,14.0,14,8.59012982000013,8.36733269299998,117.1154181003147,146.48636208720808,120.03562354124104,242.535853965599,976766.6849101001,594162.8180533899,10698.629887933284,105.0,12.0,64782.26598239919,658945.0840357889,30211.285485180706,0.0,0.0,0.0,[],6000.0,1235.539268481482,1200.0,1314.1918491957676,1200.0,1200.0,1661.9483173333333,feb1_6000,0.0,,,,model,
xgb_expanding,B_mpc,none,0.0,mpc,1.0,14.0,14,15.078639285000008,8.36733269299998,117.1154181003147,146.48636208720808,120.03562354124104,242.535853965599,976557.0553701,594072.4467586959,12781.648559818452,355.0,13.0,59970.588194211414,654043.0349529072,32573.28393516238,0.0,0.0,0.0,[],6000.0,1235.539268481482,1200.0,1327.6680321830304,1200.0,1200.0,1673.6480032962968,feb1_6000,0.0,,,,model,
xgb_expanding,C_pv7d_q82,none,0.0,greedy,,14.0,14,0.30482020399995235,0.07559979999996358,190.25801288070437,225.32613882477958,146.5002569700255,278.57635448689524,1048907.541228911,645958.6411684417,32.38621266666689,3.0,3.0,182.2726691736679,646140.9138376154,93671.32773855685,0.0,0.0,0.0,[],6000.0,1998.6015276666672,1200.0,1966.0156932037041,1200.0,1670.0217127777792,2537.2987867777774,feb1_6000,0.0,,0.8,0.2,baseline_7d,
xgb_expanding,V2_mu0_q82,none,0.0,mpc,1.0,14.0,14,6.644235604999949,0.07559979999996358,190.25801288070437,225.32613882477958,146.5002569700255,278.57635448689524,1048871.797588911,645943.2320852377,350.27370839098893,36.0,12.0,1640.2941316273852,647583.526216865,94013.98832261423,0.0,0.0,0.0,[],6000.0,2011.2460545976096,1200.0,1969.2166788473153,1200.0,1670.0217127777792,2537.2987867777774,feb1_6000,0.0,,0.8,0.2,baseline_7d,
xgb_expanding,V2_mu0.25_q82,none,0.25,mpc,1.0,14.0,14,6.6425098760000765,0.07559979999996358,190.25801288070437,225.32613882477958,146.5002569700255,278.57635448689524,1048871.797588911,645943.2320852377,350.2737083909807,36.0,12.0,1640.2941316273577,647583.526216865,94013.98832261423,0.0,0.0,0.0,[],6000.0,2011.2460545976096,1200.0,1969.2166788473153,1200.0,1670.0217127777792,2537.2987867777774,feb1_6000,0.0,,0.8,0.2,baseline_7d,
xgb_expanding,V2_mu0.4_q82,none,0.4,mpc,1.0,14.0,14,6.547558902999981,0.07559979999996358,190.25801288070437,225.32613882477958,146.5002569700255,278.57635448689524,1048871.797588911,645943.2320852377,350.2737083909807,36.0,12.0,1640.2941316273577,647583.526216865,94013.98832261423,0.0,0.0,0.0,[],6000.0,2011.2460545976096,1200.0,1969.2166788473153,1200.0,1670.0217127777792,2537.2987867777774,feb1_6000,0.0,,0.8,0.2,baseline_7d,
,oracle_actuals,,,,,,14,6.422926894000057,,,,,,,585738.3972992314,0.002229053132573506,,,0.009008727800339709,585738.4063079591,,,,,,,,,1200.0000093068795,,,,,,,,,,perfect-information lower bound; not an official score
