date,period,charge_kwh,discharge_kwh
2025-03-20,0:00-4:00,5704.594913333334,116.12353333333317
2025-03-20,4:00-8:00,1784.4177874485538,5500.462265333334
2025-03-20,8:00-12:00,2903.2197633333335,3233.626490033333
2025-03-20,12:00-16:00,7389.860666666666,254.72278333333304
2025-03-20,16:00-20:00,574.3397199999998,5806.518743333332
2025-03-20,20:00-24:00,3645.81023,2813.0469281666637
2025-03-20,soc_0_24,4293.4577789629675,4401.58683662963
2025-06-21,0:00-4:00,294.75666666666706,384.9325199999996
2025-06-21,4:00-8:00,1959.0792,1758.4083966666667
2025-06-21,8:00-12:00,10134.265783333332,0.0
2025-06-21,12:00-16:00,46.67973522633676,0.0
2025-06-21,16:00-20:00,64.54554999999993,5519.431796666666
2025-06-21,20:00-24:00,1401.7060900000004,3044.98622
2025-06-21,soc_0_24,1990.186660703705,2603.606457481482
2025-09-23,0:00-4:00,5996.773483333333,0.0
2025-09-23,4:00-8:00,3789.2822882716027,6743.24101
2025-09-23,8:00-12:00,3793.6163533333324,1941.3310300000014
2025-09-23,12:00-16:00,7326.194503333334,403.62491666666654
2025-09-23,16:00-20:00,88.5586437448487,6294.3007733333325
2025-09-23,20:00-24:00,1842.383216666667,2475.8687115333337
2025-09-23,soc_0_24,2038.3087759259279,2748.80703625926
2025-12-21,0:00-4:00,3375.9677027572006,223.27481666666665
2025-12-21,4:00-8:00,225.19649666666737,104.02961333333303
2025-12-21,8:00-12:00,4442.177426666667,8552.7858479
2025-12-21,12:00-16:00,8991.008322304524,2240.8804566666663
2025-12-21,16:00-20:00,0.0,5060.590363333333
2025-12-21,20:00-24:00,8267.121503333334,3596.031576666666
2025-12-21,soc_0_24,7825.719195962963,8621.94053077778
