label,policy,lookahead_hours,q_lock,q_open,q_evening,buffer,elapsed_s,full_plan_cost,full_emergency_cost,inner_cost,inner_emergency_kwh,inner_n_days,select_cost,select_emergency_kwh,select_n_days,tune_cost,tune_emergency_kwh,tune_n_days,oos_cost,oos_emergency_kwh,oos_n_days,full_cost,full_emergency_kwh,full_n_days
LA_h48_q65,LA,48,0.65,0.5,0.5,net_load_quantile,230.5383784000005,12985543.605142845,254922.23274252986,3279655.530417596,10784.338378489943,89,2290339.648885223,12715.068806043302,61,5569995.17930282,23499.407184533244,150,8417154.849187447,22872.371996586524,184,13987150.028490266,46371.77918111977,334
LA_h24_q65,LA,24,0.65,0.5,0.5,net_load_quantile,168.90617929998552,13000953.905111229,259459.26650651437,3290088.277878702,10542.274471299943,89,2299689.2530290764,15247.440855343299,61,5589777.530907779,25789.71532664325,150,8435929.453543149,23523.461560509862,184,14025706.984450929,49313.17688715311,334
