date,total_cost,plan_cost,emergency_cost,emergency_kwh,label
2025-02-01,18470.608966642343,18752.1504344554,859.5336498996421,202.31461689999816,LA_h48_q65
2025-02-02,62229.65048600813,61809.322538234395,1720.4866778655903,271.4557711999985,LA_h48_q65
2025-02-03,64829.89759274988,60783.1447295877,4280.785748405074,717.6677743999984,LA_h48_q65
2025-02-04,64669.632455887,63130.728161816995,0.0,0.0,LA_h48_q65
2025-02-05,63630.18981469888,57518.4301875135,1034.7614722740834,161.41655249999744,LA_h48_q65
2025-02-06,63949.34271345423,65840.85328220598,265.4550730973338,42.14488433333338,LA_h48_q65
2025-02-07,19375.6371293585,19698.710187042,921.7714241401982,219.74589069999953,LA_h48_q65
2025-02-08,15645.12310158815,14316.9729329447,0.0,0.0,LA_h48_q65
2025-02-09,61869.59912800785,60446.835647763604,0.0,0.0,LA_h48_q65
2025-02-10,55355.35165709243,54691.915682902734,195.7267807523343,39.33921433333353,LA_h48_q65
2025-02-11,58078.89621434683,53428.4565749221,1719.3945331053735,326.95209519999503,LA_h48_q65
2025-02-12,61461.27173783392,56451.34451605421,4496.148806052201,840.2469867666639,LA_h48_q65
2025-02-13,52073.003517309015,51573.71540977368,54.22433359599967,10.7844736666666,LA_h48_q65
2025-02-14,15527.106141036002,14878.1739283604,0.0,0.0,LA_h48_q65
2025-02-15,15750.647274271802,15635.1475614884,0.0,0.0,LA_h48_q65
2025-02-16,57948.38243246331,58495.45996096991,172.41107071866708,32.79927400000008,LA_h48_q65
2025-02-17,53966.21058369894,55382.86660470472,550.9631259842636,87.91761280666265,LA_h48_q65
2025-02-18,54608.52790109575,45554.68498002973,124.42297586524279,25.163936336666893,LA_h48_q65
2025-02-19,56649.023794744855,48062.61506021309,2784.0102906977077,543.3379010333317,LA_h48_q65
2025-02-20,53030.79627733194,53136.309973749696,358.89322198,65.99036000000001,LA_h48_q65
2025-02-21,15221.6420068804,15233.518355488799,0.0,0.0,LA_h48_q65
2025-02-22,15399.418341450046,15254.107009062902,0.0,0.0,LA_h48_q65
2025-02-23,52695.958342981554,51490.81946868991,6.9218372666671915,1.3388466666667682,LA_h48_q65
2025-02-24,49679.214690607994,49177.947784464,252.96717298050038,49.63221900000008,LA_h48_q65
2025-02-25,47932.80500775869,46965.41668049393,461.9360997420005,89.96551066666677,LA_h48_q65
2025-02-26,51885.18643369553,44333.813080833424,529.0908757868734,102.17540423333462,LA_h48_q65
2025-02-27,46530.34710552767,44906.3424276031,217.04781231866735,43.51260760000014,LA_h48_q65
2025-02-28,13895.511506778601,13975.0945230256,0.0,0.0,LA_h48_q65
2025-03-01,17022.698131190453,15876.0475538752,1887.3534008770052,405.5107236666677,LA_h48_q65
2025-03-02,58076.06177895432,52798.0561727724,4430.507324796767,762.9803564333307,LA_h48_q65
2025-03-03,52715.741328775395,52286.082405391004,151.7363580444358,29.9665414000005,LA_h48_q65
2025-03-04,50318.1301946456,43576.846736258,3.1064865000005213,0.6247333333334382,LA_h48_q65
2025-03-05,47061.48997586196,46382.2217623119,32.736535900001016,6.618300000000204,LA_h48_q65
2025-03-06,45600.2183054889,44115.0530566742,0.0,0.0,LA_h48_q65
2025-03-07,13988.741810917661,13915.3655250495,772.0810278641118,189.65949043333615,LA_h48_q65
2025-03-08,14924.059448517966,13577.83397935307,0.0,0.0,LA_h48_q65
2025-03-09,45444.51948241031,45464.806609260704,0.0,0.0,LA_h48_q65
2025-03-10,49347.47995690262,44397.17774113199,544.1370504007779,84.61157679999656,LA_h48_q65
2025-03-11,47939.86210702515,35624.9300141007,0.0,0.0,LA_h48_q65
2025-03-12,44907.62759428978,43694.7850592106,473.1468520764864,96.97402103333391,LA_h48_q65
2025-03-13,47032.62788754584,45165.188954688994,365.87818014698587,58.56369366666445,LA_h48_q65
2025-03-14,12722.94465995407,12838.9090564808,0.0,0.0,LA_h48_q65
